TOWN,GENDER,AGE RANGE,NUMBER
TLALPAN,Male,g) 30 a 34  ,26296
CUAUHTEMOC,Female,g) 30 a 34  ,26745
TLALPAN,Male,d) 15 a 19  ,27036
CUAUHTEMOC,Male,g) 30 a 34  ,27072
TLALPAN,Female,i) 40 a 44  ,27131
ALVARO OBREGON,Female,d) 15 a 19  ,27247
TLALPAN,Female,j) 45 a 49  ,27295
ALVARO OBREGON,Male,h) 35 a 39  ,27331
ALVARO OBREGON,Male,d) 15 a 19  ,27601
TLALPAN,Female,h) 35 a 39  ,27732
TLALPAN,Male,f) 25 a 29  ,27809
GUSTAVO A. MADERO,Male,m) 60 a 64  ,27902
TLALPAN,Female,g) 30 a 34  ,28154
TLALPAN,Female,e) 20 a 24  ,28401
ALVARO OBREGON,Female,k) 50 a 54  ,28592
ALVARO OBREGON,Male,g) 30 a 34  ,28598
TLALPAN,Female,f) 25 a 29  ,28601
IZTAPALAPA,Male,n) 65 a 69  ,29058
TLALPAN,Male,e) 20 a 24  ,29172
ALVARO OBREGON,Female,i) 40 a 44  ,29202
ALVARO OBREGON,Male,f) 25 a 29  ,29549
ALVARO OBREGON,Female,h) 35 a 39  ,29841
ALVARO OBREGON,Male,e) 20 a 24  ,29868
ALVARO OBREGON,Female,j) 45 a 49  ,29927
ALVARO OBREGON,Female,e) 20 a 24  ,30073
ALVARO OBREGON,Female,g) 30 a 34  ,30888
GUSTAVO A. MADERO,Female,a) 0 a 4  ,31044
ALVARO OBREGON,Female,f) 25 a 29  ,31159
GUSTAVO A. MADERO,Male,l) 55 a 59  ,32164
GUSTAVO A. MADERO,Male,a) 0 a 4  ,32218
GUSTAVO A. MADERO,Female,m) 60 a 64  ,34192
GUSTAVO A. MADERO,Female,b) 5 a 9  ,35361
IZTAPALAPA,Female,n) 65 a 69  ,35877
GUSTAVO A. MADERO,Male,b) 5 a 9  ,36273
GUSTAVO A. MADERO,Female,l) 55 a 59  ,37842
GUSTAVO A. MADERO,Male,k) 50 a 54  ,37979
GUSTAVO A. MADERO,Female,c) 10 a 14  ,38407
GUSTAVO A. MADERO,Male,i) 40 a 44  ,38783
GUSTAVO A. MADERO,Male,c) 10 a 14  ,39042
IZTAPALAPA,Male,m) 60 a 64  ,39606
GUSTAVO A. MADERO,Male,j) 45 a 49  ,39825
GUSTAVO A. MADERO,Male,h) 35 a 39  ,40516
GUSTAVO A. MADERO,Female,d) 15 a 19  ,41281
GUSTAVO A. MADERO,Female,i) 40 a 44  ,42720
GUSTAVO A. MADERO,Male,d) 15 a 19  ,43052
GUSTAVO A. MADERO,Female,h) 35 a 39  ,43083
GUSTAVO A. MADERO,Male,g) 30 a 34  ,43437
GUSTAVO A. MADERO,Female,g) 30 a 34  ,44189
GUSTAVO A. MADERO,Female,k) 50 a 54  ,44541
GUSTAVO A. MADERO,Female,e) 20 a 24  ,44809
GUSTAVO A. MADERO,Female,j) 45 a 49  ,44866
GUSTAVO A. MADERO,Female,f) 25 a 29  ,45079
IZTAPALAPA,Male,l) 55 a 59  ,45370
GUSTAVO A. MADERO,Male,f) 25 a 29  ,46369
GUSTAVO A. MADERO,Male,e) 20 a 24  ,46768
IZTAPALAPA,Female,m) 60 a 64  ,48146
IZTAPALAPA,Female,a) 0 a 4  ,51078
IZTAPALAPA,Male,a) 0 a 4  ,52070
IZTAPALAPA,Female,l) 55 a 59  ,53920
IZTAPALAPA,Male,k) 50 a 54  ,54898
IZTAPALAPA,Male,j) 45 a 49  ,61013
IZTAPALAPA,Female,b) 5 a 9  ,62279
IZTAPALAPA,Male,i) 40 a 44  ,62646
IZTAPALAPA,Female,k) 50 a 54  ,63783
IZTAPALAPA,Male,b) 5 a 9  ,64449
IZTAPALAPA,Male,h) 35 a 39  ,66445
IZTAPALAPA,Female,c) 10 a 14  ,67431
IZTAPALAPA,Female,j) 45 a 49  ,68372
IZTAPALAPA,Female,i) 40 a 44  ,68867
IZTAPALAPA,Male,c) 10 a 14  ,69528
IZTAPALAPA,Female,d) 15 a 19  ,70085
IZTAPALAPA,Female,h) 35 a 39  ,70485
IZTAPALAPA,Male,g) 30 a 34  ,71308
IZTAPALAPA,Male,d) 15 a 19  ,73108
IZTAPALAPA,Female,g) 30 a 34  ,73562
IZTAPALAPA,Female,e) 20 a 24  ,74912
IZTAPALAPA,Male,f) 25 a 29  ,75498
IZTAPALAPA,Male,e) 20 a 24  ,75828
IZTAPALAPA,Female,f) 25 a 29  ,76092
