Description,Item,Unit,Cost
POLIET SIXCOM 3 x 200 x  50 NEGRO,450814775,PZ,17.51
CLAVO C/CHATA 12-50,450812631,PZ,17.6
PITON S/TOPE ABIERTO P/TACO 10 x 25,450818526,PZ,17.6
TELA MOSQ ALUM UNIV 0.92 x 30.0 MT,450812907,PZ,17.62
TELA M/SOMBRA  50 MT AZUL -BLAN 80%,424582122,CJ,17.65
GUARDACABO GALV 1,450802132,PZ,17.67
PICO GHERARDI PTA-PALA 102 MM C/CAB,450600403,PZ,17.76
CACEROLA FUND S/ENLOZAR N. 8,424564170,PZ,17.87
LIJA AA FENOB G. 40   120 x 45000,450800635,PZ,18
BANDA AA TELA  75x533 O/A MAD G. 40,450814542,PZ,18.12
GANCHO P/CAÃ‘O ESTRUCT 25 x  70,450904903,PQ,18.2
CLAVO C/CHATA 14-40,450812630,PZ,18.48
MACHETE GHERARDI N.18  457 MM,424596138,PZ,18.5
PITON HO PUL ESCUAD  21 -  60 x 100,450801551,PZ,18.51
MAQ ZONTA RTO-ALMOHADILLAS 64,450814816,PZ,18.51
PITON S/TOPE ESCUAD  P/TACO  5 x 50,450812776,PZ,18.53
POLIET SIXCOM 6 x 100 x  50 NEGRO,450810551,PZ,18.55
MECHA MAX PLANA P/MAD   13/16,424501096,PZ,18.72
MECHA EZETA COLA CONICA 16.25 MM,450801560,PZ,18.77
PITON S/TOPE ABIERTO P/TACO  6 x 50,424564544,PZ,18.86
BANDA AA TELA  75x457 O/A MAD G. 40,424596139,PZ,19
BANDA AA TELA  75x457 O/A MAD G. 50,424596140,PZ,19
BANDA AA TELA  75x457 O/A MAD G. 60,424596141,PZ,19
BANDA AA TELA  75x457 O/A MAD G. 80,424596142,PZ,19
BANDA AA TELA  75x457 O/A MAD G.100,424596144,PZ,19
BANDA AA TELA  75x457 O/A MAD G.120,424596145,PZ,19
BANDA AA TELA  75x508 O/A MAD G. 36,424596146,PZ,19
BANDA AA TELA  75x508 O/A MAD G. 40,424596147,PZ,19
BANDA AA TELA  64x410 O/A MAD G. 80,424596148,PZ,19
BANDA AA TELA  75x508 O/A MAD G. 50,424596149,PZ,19
BANDA AA TELA  64x410 O/A MAD G. 50,424596150,PZ,19
GRINFA EL ROBLE ACERO FORJADO N. 8,424596151,PZ,19
BANDA AA TELA  64x410 O/A MAD G.100,424596152,PZ,19
BANDA AA TELA  64x410 O/A MAD G. 60,424596153,PZ,19
GUANTE PVC ROJO P/LARGO  9 1/2,424596154,PZ,19
GUANTE PVC ROJO P/LARGO 10 1/2,424596155,PZ,19
GUANTE PVC ROJO P/CORTO 10 1/2,424596156,PZ,19
GUANTE PVC ROJO P/CORTO  9 1/2,424596157,PZ,19
GRINFA EL ROBLE ACERO FORJADO N.30,424596158,PZ,19
GRINFA EL ROBLE ACERO FORJADO N.22,424596159,PZ,19
GRINFA EL ROBLE ACERO FORJADO N.18,424596160,PZ,19
GRINFA EL ROBLE ACERO FORJADO N.16,424596161,PZ,19
GRINFA EL ROBLE ACERO FORJADO N.10,424596162,PZ,19
CADENA NUDO N.11,450817000,PZ,19.09
REGADERA PLAST 10 LT RTO-FLOR,450813094,PZ,19.14
RIEL DOBLE BLANCO 1.50 MT,450813070,PZ,19.15
CLAVO P/PARIS FRACC  5,450803929,PZ,19.17
REGLA EVEL METALICA  30 CM,424581722,PZ,19.24
PITON S/TOPE ABIERTO P/TACO 12 x 20,450814787,PZ,19.26
SEMILLA REFORZADA N. 8,450800929,PZ,19.28
PITON C/TOPE CERRADO BCE 21-70 x 50,450801012,PZ,19.33
MECHA EZETA COLA CONICA 13.50 MM,450801391,PZ,19.34
MECHA EZETA WIDIA BOSCH 10 x 110 MM,424564935,PZ,19.35
RIEGO KIT MANGUERA 1/2 x 15 MTS,424564461,PZ,19.51
CADENA P/PERRO N.15 LARGO 2.20 MT,424561015,PZ,19.73
CORTINA P/BAÃ‘O COMPLETA AMARILLA,424588814,PZ,19.73
PITON S/TOPE ESCUAD  P/TACO 10 x 25,424593634,PZ,19.74
RIEGO ROCIADOR GIRATORIO ACOPLE ESP,424564592,PZ,19.76
POLIET SIXCOM 2 x 200 x  50 CRISTAL,450801581,PZ,19.97
CABO P/HACHA   0.90 MT  RECTO,450810931,PZ,20.01
ABRAZ A/INOXIDABLE 5508 13 - 19 MM,450819437,PZ,20.17
CORREA SECCION A N.46,450802422,PZ,20.18
MECHA EZETA COLA CONICA 19.25 MM,450802131,PZ,20.28
ALAMB REC NEGRO N.22 0.71 MM,424574048,PZ,20.4
BALDE PLAST ALBAÃ‘IL MAGER,450812966,PZ,20.44
CADENA ONETO CALIBRADA N.50,450812967,PZ,20.44
PUNTA GHERARDI HEXAGONAL 18-21 200,450814408,PZ,20.45
LIJA AA COLORADO RUBI G. 40 E/G,450805115,PZ,20.49
HERRADURA ACANALADA PESADA 6,450817074,PZ,20.59
POLIET SIXCOM 3 x 200 x  50 CRISTAL,450814811,PZ,20.63
CABO P/PALA 1.20 MT,450814892,PZ,20.7
CLAVO CAJ PULIDO 12- 32 x 30 KG,424580255,PZ,20.76
MACHO URANGA A/ALEADO BSP  3/4 x 14,424560348,PZ,20.8
MAQ ZONTA CORTA CERAMICO 42 CM,424589609,PZ,20.8
TIJERA RTO-CAB COMP HUALA 42,424560303,PZ,21.41
ABRAZ A/INOXIDABLE 5510 14 - 22 MM,450818406,PZ,21.46
HERRADURA ACANALADA PESADA 5,450813815,PZ,21.59
TOR P/MECHA C/HEXAG  C/A 14 x 2,424563019,PZ,21.63
GRILLETE FORJ GALV   5/16 x   3/8,424595722,PZ,21.71
MECHA EZETA CILINDRICA A/R 18.00 MM,424589522,PZ,21.73
MECHA EZETA COLA CONICA 20.25 MM,450813687,PZ,21.74
MJA RTO-CLAVIJA HO BRONCEADO x 100,450814098,PZ,21.74
CABLE CORDON  2.0 MM 1 x 19,450813808,PZ,21.78
CABLE ACERO  8.0 MM 6 x 19+1,450800634,PZ,21.87
TENDEDERO EXTENS 9 V  80 CM,450817434,MT,21.9
BALDE PLAST ALBAÃ‘IL MAGER MJA INY,450812965,PZ,21.94
BIS FICHA P/SOLD REF  60- 8   x 2.5,450814072,PZ,22.04
CABO P/PALA 0.60 MT EMPUNAD METAL,450800364,MT,22.13
TOR P/MECHA C/HEXAG  C/A 14 x 1,424560316,PZ,22.35
MACHO URANGA A/RAPIDO M 22 x 1.50,450813814,PZ,22.36
BANDA AA TELA  75x533 O/A MAD G. 36,450814815,PZ,22.36
MECHA EZETA WIDIA BOSCH 22 x 250 MM,450806086,PZ,22.52
MACHO URANGA A/ALEADO BSP  1/2 x 14,424580940,PZ,22.69
BANDA AA TELA 100x610 O/A MAD G. 40,450812928,PZ,22.77
MECHA EZETA COLA CONICA 18.75 MM,450804108,PZ,22.83
MECHA EZETA COLA CONICA 23.50 MM,450800789,PZ,22.88
TABLA PLANCHAR PREMIUM S/PARRILLA,450812668,PZ,22.88
PALETA MATA MOSCA,424564678,PZ,22.9
PITON C/TOPE ABIERTO BCE 23-80 x 25,424570448,PZ,23
CABO P/PICO 0.90 MT,450803970,PZ,23.16
TOR P/MECHA C/FIJAD-PHIL  6 x   3/4,450814108,PZ,23.21
ALAMBRE PUAS S/BAGUAL 15-101 500 MT,450812968,PZ,23.39
CLAVO C/CHATA  8-25,450814011,PZ,23.46
CABO P/LIMA MATRICERO  75 A 150 MM,424593703,PZ,23.54
FLEX SIFOLIMP PVC REG 1/2 x 30 CM,424593704,PZ,23.54
CORTINA P/BAÃ‘O COMPLETA ROSA,450814101,PZ,23.61
SOGA TRENZ P/MOTOR EXPL 3.00 MM,424560076,PZ,23.62
MECHA EZETA COLA CONICA 39.50 MM,450813647,PZ,23.65
REGADERA PLAST  5 LT,450812969,PZ,23.67
TELA MOSQ ALUM UNIV 1.02 x 30.0 MT,450812929,PZ,23.68
CLAVO ESPIRALADO FRACC  5,424572082,PZ,23.74
CLAVO ESPIRALADO FRACC  6,424572084,PZ,23.74
GRAMPA P/CORREA N.45,450802614,PZ,23.87
REGATON REGULABLE 5/16 BASE CHICA,424582151,RL,23.92
MACHO URANGA A/ALEADO NF  3/4  x 16,450817112,PZ,23.92
ADAP HEXAG P/AUTOPERF  5/16x 65 MM,424581005,PZ,24
CLAVO C/PLOMO  76 MM x 100 U,450806148,PZ,24.01
PICO GHERARDI 2 PUNTAS LARGO 570 MM,450811724,PZ,24.03
TELA MOSQ ALUM UNIV 0.72 x 30.0 MT,450812289,RL,24.08
CORTAFRIO GHERARDI HEXAG 18-21 250,450811821,PZ,24.11
TENDEDERO EXTENS 9 V 100 CM,450814489,PZ,24.11
MECHA EZETA WIDIA BOSCH 25 x 250 MM,450813108,PZ,24.6
MALLA Q216 3x1.20 MT  25x25 x2.6 MM,450810550,PZ,24.65
CABLE ACERO 25.4 MM 6 x 19+1,450817316,PZ,24.65
BANDA AA TELA 100x610 O/A MAD G. 36,450811258,PZ,24.68
TENAZA GHERARDI ARMAD N.12 CA CHICA,424595588,PZ,24.72
PUNTA GHERARDI HEXAGONAL 18-21 400,424595589,PZ,24.72
CLAVO C/CHATA 10-25,450802962,PZ,24.82
MENSULA DOBLE BLANCA 470 MM,450802423,PZ,24.84
MECHA EZETA COLA CONICA  6.25 MM,450804109,PZ,24.98
MECHA EZETA COLA CONICA  6.50 MM,450804113,PZ,24.98
MARTILLO GHERARDI BOLITA 500 GR,424595609,PZ,25
TIJERA RTO-CUCHILLA HUALA 30,424573158,PZ,25.06
GRILLETE FORJ GALV   7/16 x   1/2,424595723,PZ,25.32
ABRAZ AMERICANA 3010   100 - 115 MM,450812136,PZ,25.48
SEMILLA REFORZADA N. 9,424572683,PZ,25.66
DISCO AA GOLD    6 PERF 154  G.150,450814812,PZ,25.75
BIS T/MUNICION C/AGUJ PUL   75x75,424580074,PZ,25.91
MECHA EZETA COLA CONICA 14.25 MM,450803561,PZ,25.96
CABLE CORDON 10.0 MM 1 x  7,450812363,PZ,26
POLIET SIXCOM 2 x 100 x 100 CRISTAL,450814053,PZ,26
TOR P/MECHA C/FIJAD-PHIL  8 x 1,450817002,PZ,26
TIJERA RTO-CAB COMP HUALA 24,424560529,PZ,26.05
TIJERA RTO-CAB COMP HUALA 18,424561058,PZ,26.05
TOPE AUTOADHESIVO REDONDO,450814100,PZ,26.38
CORREA SECCION A N.48,450812869,PZ,26.53
CLAVO ESCUADRA PUL 15 -  25,424560083,PZ,27.04
CLAVO CAJ PULIDO FRACC  14- 50,424570361,PZ,27.1
MECHA EZETA COLA CONICA 26.50 MM,450813405,PZ,27.38
LEBRILLO CHAPA GALV REF N.22  46 LT,450600054,PZ,27.51
CLAVO CAJ PULIDO FRACC  16- 63,424564545,PZ,27.56
SELLADOR APLICADOR A CREMALLERA NAC,450812482,PZ,27.73
CEPILLO ACERO CIRCULAR  4x1,450813307,PZ,27.74
TIJERA RTO-CAB COMP HUALA 30,413054469,PZ,28.05
CLAVO C/CHATA  8-30,450814999,PZ,28.06
CABLE ACERO  3.0 MM 6 x 19+1,450812636,PZ,28.08
MECHA EZETA COLA CONICA 41.00 MM,450813635,PZ,28.08
HERRADURA ACANALADA PESADA C/CLIP 1,450817106,PZ,28.4
TOR P/MECHA C/FIJAD-PHIL  8 x 1 1/2,450810811,PZ,28.49
CORREA SECCION A N.36,450802213,PZ,28.6
TIJERA RTO-CAB COMP HUALA 36,424564679,PZ,28.62
TENAZA GHERARDI CARP N. 6  152 MM,424595626,PZ,28.78
CLAVO ESCUADRA PUL 22 -  90,450800993,PZ,28.85
CLAVO CAJ PULIDO FRACC  12- 32,413051983,PZ,28.87
MECHA EZETA COLA CONICA 36.00 MM,450810780,PZ,29.12
MECHA BIASSONI P T E  3/8   CORTA,450814631,PZ,29.19
CLAVO ESPIRALADO 2 1/2  x 20 KG,450803118,PZ,29.37
ABRAZ AMERICANA 3005/5  50 -  65 MM,450805148,PZ,29.39
GRINFA EL ROBLE ACERO FORJADO N.20,424595610,PZ,29.42
CINTA EVEL 115 STANDARD    15 MT,424562003,PZ,29.67
DISCO AA GOLD    6 PERF 154  G.240,450803930,PZ,30.14
CUCHARA ROBLE P/ALBAÃ‘IL N. 7,450811380,PZ,30.16
MECHA EZETA COLA CONICA 42.00 MM,450812670,PZ,30.16
GRILLETE FORJ GALV   1/2  x   9/16,450814512,PZ,30.21
CUCHARA GHERARDI FORJ N. 9,424560832,PZ,30.24
MENSULA DOBLE NEGRA  270 MM,450811671,PZ,30.38
MENSULA DOBLE ECO BLANCA 270 MM,424560056,PZ,30.56
GANCHO P/CAÃ‘O ESTRUCT 50 x 150,424582600,BK,30.59
CABLE ACERO  9.5 MM 6 x 19+1,450818408,PZ,30.62
TOR P/MECHA C/FIJAD-PHIL  8 x   3/4,450800261,PZ,30.78
ENROLLADOR C/BASE,450803340,PZ,30.97
MACHO URANGA A/RAPIDO BSP  3/8 x 19,450802398,PZ,31.02
TABLA PLANCHAR PREMIUM C/PARRILLA,450804287,PZ,31.03
ALAMB REC NEGRO N.19 1.02 MM,424570634,PZ,31.14
CORTINA P/BAÃ‘O COMPLETA BEIGE,424572809,PZ,31.14
CLAVO C/PLOMO 101 MM x 100 U,450801252,PZ,31.14
CORREA SECCION A N.31,450811269,PZ,31.3
ABRAZ AMERICANA 3006    60 -  75 MM,450810845,PZ,31.35
CINTA EVEL 602 CAJA ZAMAC   2 MT,424561259,PZ,31.44
MECHA EZETA COLA CONICA 41.75 MM,450813707,PZ,31.81
CLAVO CAJ PULIDO 14- 45 x 30 KG,424588362,PZ,31.93
MECHA EZETA CILINDRICA A/R 13.50 MM,450905730,PZ,31.93
MECHA EZETA CILINDRICA A/R 12.00 MM,450905732,PZ,31.93
MECHA EZETA CILINDRICA A/R 11.50 MM,450905734,PZ,31.93
GANCHO P/CAÃ‘O ESTRUCT 30 x  80,424582031,PQ,32
MECHA EZETA COLA CONICA 39.75 MM,450813071,PZ,32.21
ARCO SIERRA CARNICERO C/HOJA 720 MM,424570632,PZ,32.24
MENSULA DOBLE NEGRA  370 MM,424570633,PZ,32.24
CORREA SECCION A N.49,450812412,PZ,32.28
TENDEDERO RTO-BASE CEMENTO,450802550,PZ,32.61
MECHA EZETA WIDIA BOSCH 16 x 300 MM,450813628,PZ,32.69
MECHA EZETA COLA CONICA 24.75 MM,450801111,PZ,32.81
BISAGRA T 8 MODELO 524,450816307,PZ,33.21
MECHA EZETA COLA CONICA 44.75 MM,451301815,PZ,33.21
MECHA EZETA WIDIA BOSCH  8 x 210 MM,424582029,PQ,33.28
MECHA NEIKE WIDIA RADIAL,424582030,PZ,33.28
MECHA BIASSONI P T E  1/2   CORTA,450805765,PZ,33.28
ELECTRODO ESAB P/AZUL 2.00 MM,450813708,PZ,33.28
CINTA EVEL 203 RETROFLEX    3 MT,424591027,PZ,33.43
MALLA ACINDAR 50x 50x2.6MM 1.0x24MT,450803564,PZ,33.59
GANCHO ESTIRA TEJ GALV 3/8  x 10,424589273,PZ,33.72
MACHO URANGA A/RAPIDO BSP  1/2 x 14,451401927,PQ,33.8
ALAMBRE PUAS BAGUAL   16-101 500 MT,450802549,PZ,33.89
MECHA EZETA COLA CONICA 27.00 MM,450812955,PZ,33.89
MECHA EZETA COLA CONICA 37.75 MM,450810495,PZ,33.96
MACHO URANGA A/RAPIDO NF 1     x 12,424593691,PZ,34.15
SOPAPA ACERO DE LAVATORIO 40 MM,424593692,PZ,34.15
MECHA EZETA COLA CONICA  5.00 MM,450804917,PZ,34.18
CEPILLO ACERO CIRCULAR  5x1,450801243,PZ,34.32
LIJA AA FENOB G. 50   150 x 45000,450814177,PZ,34.42
TENAZA GHERARDI CARP N. 9  233 MM,424595646,PZ,34.45
TENAZA GHERARDI CARP N.10  251 MM,424595647,PZ,34.45
BANDA AA TELA  75x508 O/A MAD G. 60,424595648,PZ,34.45
CLAVO C/CHATA 15-50,450804395,PZ,34.82
MECHA EZETA COLA CONICA 24.00 MM,450814191,PZ,34.94
CABLE ACERO 16.0 MM 6 x 19+1,450813406,PZ,34.96
MACHO TAP A/LAMINADO NF    8  x 36,424594301,PZ,35
MACHO URANGA A/RAPIDO NF    12 x 28,413062683,PZ,35.09
CORREA SECCION A N.59,450812502,MT,35.36
CABO P/GUADAÃ‘A COMPLETO,450802214,PZ,35.52
ARCO SIERRA CARNICERO C/HOJA 620 MM,424590120,PQ,35.56
GRIFERIA VENUS COCINA MESADA BLANCO,450805370,PZ,35.8
FLEX DUKE PLAST CONEX MET 1/2 x 20,424595670,PZ,35.86
FLEX DUKE EXTENSIBLE 50 x 40-50 MM,424595671,PZ,35.86
BANDA AA TELA  50x478 O/A MET G.100,424595672,PZ,35.86
PITON P/MAD SOLDADO  25 - 110 x 25,413062440,PZ,35.89
CALENTADOR P/GAS GRANDE ENLOZADO,450802228,PZ,35.9
MACHO TAP A/LAMINADO NF  3/16 x 32,464502644,PZ,35.9
MECHA EZETA CILINDRICA A/R 18.25 MM,424589523,PZ,36.23
BANDA AA TELA  75x610 O/A MAD G. 36,450817080,PZ,36.23
MECHA EZETA COLA CONICA 30.75 MM,450804850,PZ,36.31
CLAVO ACERO GALV 3.0 - 60 x 100,424591730,PZ,36.4
ACOPLE DUKE COMPRESION PROF 3/4,424595611,PZ,36.54
MECHA EZETA COLA CONICA 38.00 MM,450811659,PZ,36.67
GUANTE LATEX P/CORTO  9 1/2,450810555,PZ,36.9
GANCHO P/CAÃ‘O ESTRUCT 40 x 100,424583418,CJ,36.92
PITON HO PUL ESCUAD  16 -  30 x 200,424573123,PZ,37
TABLA PLANCHAR ESPECIAL S/PARRILLA,450300349,PZ,37.01
MECHA EZETA COLA CONICA 14.75 MM,450802323,PZ,37.18
GANCHO P/CAÃ‘O ESTRUCT 50 x 100,424561014,PZ,37.37
CORREA SECCION A N.53,424580252,PZ,37.37
COLLAR SUELA N.12 LISO - 29 CM,424574184,PZ,37.44
MACHO TAP A/LAMINADO NC  1/2 x 13,424594300,PZ,37.44
MECHA EZETA COLA CONICA 18.00 MM,450814125,KG,37.44
MECHA EZETA COLA CONICA 36.50 MM,450811787,KG,37.7
PICO GHERARDI PUNTA-HACHA,413063888,PZ,37.76
MECHA EZETA COLA CONICA 25.25 MM,450819592,PZ,38.02
CORTINA P/BAÃ‘O COMPLETA AZUL,424560214,PZ,38.17
CLAVO ESPIRALADO 1      x 20 KG,450905872,PQ,38.42
MECHA EZETA MULTIMATERIAL 12 MM,424582025,PQ,38.48
TENSOR ACERO GALV IMP  5/16,450813095,PZ,38.48
CORREA SECCION O N.20,450802324,PZ,38.58
ABRAZ AMERICANA 3002    25 -  35 MM,450800894,PZ,38.6
MACHO URANGA A/RAPIDO M 14 x 1.00,450814893,PZ,38.69
MECHA EZETA COLA CONICA 40.75 MM,450813665,PZ,38.93
TENDEDERO RODANTE GRANDE,450813725,CJ,39.45
MECHA EZETA COLA CONICA 42.25 MM,450812451,PZ,39.52
RIEGO SOPORTE DE MANGUERA,450812741,PZ,39.62
TEJIDO P/CERDO  7Hx0.65x15x12,424561789,PZ,39.86
TOR P/MECHA WIN 10 - 16 x 1 5/8,424593699,PZ,40.02
TOR P/MECHA WIN 12 - 14 x 2,424593700,PZ,40.02
TOR P/MECHA WIN 12 - 14 x 2 1/2,424593701,PZ,40.02
FLEX SIFOLIMP PVC REG 1/2 x 20 CM,424593702,PZ,40.02
MECHA EZETA COLA CONICA 29.00 MM,450814190,PZ,40.04
MECHA EZETA COLA CONICA 13.25 MM,450805749,PZ,40.56
ABRAZ AMERICANA 3009    90 - 105 MM,450814624,PZ,40.58
PICO GHERARDI PTA-PALA  62 MM C/CAB,450804117,PZ,41.01
MECHA EZETA COLA CONICA 40.00 MM,450813072,PZ,41.15
MECHA EZETA WIDIA BOSCH  8 x 160 MM,424582141,PZ,41.31
CEPILLO ALAMBRE ACERO  RECTANG 6x19,450801690,PZ,41.59
CARCIMA 1023 SACAYUYO MANUAL,424580478,PZ,41.6
CORREA SECCION A N.47,450813666,PZ,41.68
ABRAZ AMERICANA 3011   110 - 125 MM,450811658,PZ,41.86
CINTA PELIGRO 8 CM x 200 MT,413051297,PZ,42.04
PITON HO PUL ESCUAD  21 -  70 x 100,450802700,PZ,42.17
LIJA AA GOLD 24K  G.360,424595596,PZ,42.29
MECHA EZETA COLA CONICA 15.75 MM,450801120,PZ,42.37
MECHA EZETA CILINDRICA A/R  0.80 MM,450906030,PZ,42.5
CADENA MAGER TORCIDO CORTO N. 25,450814306,PZ,42.64
MACHO URANGA A/RAPIDO NF  7/16 x 20,424593684,PZ,42.92
CORREA SECCION O N.23,450814176,PZ,43.18
BIS T/MUNICION C/AGUJ CINC 100x75,424574018,PZ,43.24
PITON S/TOPE ESCUAD  P/TACO  8 x 50,424593635,PZ,43.41
MACHO URANGA A/ALEADO BSP 1    x 11,424594298,PZ,43.41
MACHO URANGA A/ALEADO BSP  7/8 x 14,424594299,PZ,43.41
MECHA EZETA COLA CONICA 38.75 MM,450812671,KG,43.68
SELLADOR S-28 SILIC NEGRO  300 GR,450804616,PZ,43.7
DISCO AA GOLD    6 PERF 154  G.280,450802145,PZ,43.89
REGULADOR PAZ P/GARR S/MANGUERA,450802271,PZ,44.02
LIMPIAMANOS ALLEMANDI POLVO   x15KG,451305369,PZ,44.08
MACHO URANGA A/RAPIDO NF  3/8  x 24,424593683,PZ,44.26
CLAVO P/PARIS FRACC  3,450813910,PZ,44.26
CLAVO ACERO ESC GALV 4.0 - 70 x 50,450804118,PZ,44.39
CLAVO ESCUADRA PUL 21 -  90,450800222,PZ,44.42
MECHA EZETA COLA CONICA 31.00 MM,450813598,PZ,44.55
CADENA NUDO N.12,450812704,MT,44.65
PICO GHERARDI PALA-HACHA  75 MM C/C,450814523,PZ,44.75
TIJERA GHERARDI CORTA PERNOS 14,450803055,PZ,45.05
CARCIMA 1022 CULTIVADOR 3 GARRAS,424590137,PQ,45.32
GANCHO CONTRA VIENTO 24 - 160 x 15,450814628,PZ,45.45
MECHA EZETA COLA CONICA 40.25 MM,450802151,PZ,45.55
MACHO URANGA A/RAPIDO NF  1/4  x 28,424593602,PZ,45.65
DESTAPAPILETA EL ABUELO CINTA  5 MT,424570558,PZ,45.67
HERRADURA ACANALADA PESADA C/CLIP 4,450801685,PZ,45.72
CACEROLA FUND S/ENLOZAR N. 3,450800996,PZ,45.76
LIJA AA FENOB G.120   120 x 45000,450801684,PZ,45.76
CADENA P/PERRO N. 8 LARGO 2.20 MT,422001482,PZ,45.78
CLAVO C/CHATA 16-63,450804933,PZ,46.29
DESTAPACAÃ‘ERIA CINTA ACERO 15 MT,450813032,PZ,46.42
BANDA AA TELA  75x508 O/A MAD G. 80,424595627,PZ,46.47
ALAMB REC NEGRO N.16 x 1 KG,450813603,PZ,46.71
MACHO URANGA A/RAPIDO M 18 x 1.50,450804420,PZ,46.72
MARTILLO GHERARDI GALP C/UÃ‘A 500 GR,424595612,PZ,46.99
MECHA EZETA DE CENTRAR 6.30 MM,424582922,PZ,47.01
MECHA EZETA COLA CONICA 20.50 MM,450800666,PZ,47.16
MACHO TAP A/LAMINADO NF  7/16 x 20,450802613,PZ,47.42
GANCHO P/ARMARIO BCE 40 MM x 100,450817003,PZ,47.5
DISCO AA GOLD    6 PERF 154  G.100,450812173,PZ,47.61
MACHO URANGA A/ALEADO NF  1/2  x 20,450813987,PZ,47.84
MECHA EZETA COLA CONICA 46.50 MM,450818795,PZ,47.84
TENAZA GHERARDI CARP N. 8  203 MM,424595629,PZ,47.91
CADENA NUDO N.18,450811912,PZ,47.96
GANCHO CONTRA VIENTO 22 - 120 x 25,424580343,PZ,48
ALAMB REC NEGRO N.16 1.63 MM,413051199,PZ,48.33
MECHA EZETA COLA CONICA 33.25 MM,450812501,PZ,48.56
CORREA SECCION O N.24,450813317,PZ,48.88
PITON S/TOPE ABIERTO P/TACO  8 x 50,450817271,PZ,48.88
MECHA EZETA DE CENTRAR 1.60 MM,424580002,PZ,48.91
CABO P/MARTILLO LABRADO 0.35 MT,450301149,PZ,48.98
MECHA EZETA CILINDRICA A/R 10.00 MM,450819689,PZ,49
MECHA EZETA COLA CONICA 32.00 MM,450812903,PZ,49.22
LIJA AA GOLD 24K  G.400,424595597,PZ,49.29
MECHA EZETA JUEGO A/R Y WIDIA x 9 U,424580058,PQ,49.33
GANCHO P/CAÃ‘O ESTRUCT 35 x 100,424582130,BA,49.48
MACHO URANGA A/ALEADO M 16 x 1.50,450814912,PZ,49.61
NIVEL EVEL ALUMINIO  60 CM,450801683,PZ,49.76
CADENA P/PERRO N.18 LARGO 1.70 MT,424580014,PQ,50.23
PITON HO PUL ESCUAD  23 -  80 x 100,450900403,PZ,50.34
PITON HO PUL ESCUAD  23 -  70 x 100,450900404,PZ,50.34
LIJA AA FENOB G. 36   150 x 45000,450801837,PZ,50.69
AZADA GHERARDI CARPIR N.2,424595579,PZ,50.83
AZADA GHERARDI ALGODONERA N.0,424595580,PZ,50.83
AZADA GHERARDI ALGODONERA N.1,424595581,PZ,50.83
AZADA GHERARDI ALGODONERA N.2,424595582,PZ,50.83
AZADA GHERARDI 2 AGUJEROS,424595583,PZ,50.83
BANDA AA TELA  75x533 O/A MAD G. 60,450803940,PZ,50.97
MECHA EZETA WIDIA BOSCH 14 x 350 MM,450817312,PZ,51.02
MACHO URANGA A/RAPIDO M 20 x 1.50,450812770,PZ,51.16
MECHA EZETA COLA CONICA 13.00 MM,450818405,PZ,51.88
CLAVO CAJ PULIDO 12- 28 x 30 KG,424588359,CJ,51.9
CLAVO CAJ PULIDO 12- 30 x 30 KG,424588360,CJ,51.9
CAÃ‘O CRISTAL  5 -  8  x  50 MT,450804617,PZ,51.94
CADENA P/PERRO N.13 LARGO 1.70 MT,424592740,PZ,52
MECHA EZETA WIDIA LARGA 200 12 MM,424592810,CJ,52
CADENA P/PERRO N.13 LARGO 1.40 MT,424592811,CJ,52
MECHA EZETA COLA CONICA 28.00 MM,450801732,PZ,52
MECHA EZETA COLA CONICA 27.75 MM,450801733,PZ,52
MACHO URANGA A/RAPIDO M 12 x 1.25,450805937,PZ,52.36
CINTA EVEL 120 STANDARD    20 MT,424560271,PZ,52.5
PICO GHERARDI PALA-HACHA 102 MM C/C,450802194,PZ,52.64
MACHO URANGA A/RAPIDO NF  5/8  x 18,424593688,PZ,52.74
TELA MOSQ ALUM UNIV 1.12 x 30.0 MT,450817012,PZ,52.74
CADENA NUDO N. 9,450802701,PZ,52.89
GANCHO P/CAÃ‘O ESTRUCT 40 x  80,424591344,FR,52.94
GUARDACABO GALV   1/2,450804935,PZ,53
CORREA SECCION O N.22,450813600,PZ,53.04
TENAZA GHERARDI CARP N. 7  178 MM,424595628,PZ,53.25
TIJERA RTO-CUCHILLA HUALA 18,424574936,PZ,53.56
MECHA EZETA COLA CONICA 34.75 MM,450814579,PZ,53.59
MECHA EZETA DE CENTRAR 5.00 MM,424560094,PZ,53.73
CUCHARA GHERARDI FORJ N. 5 1/2,450813038,PZ,53.82
GANCHO ESTIRA TEJ GALV 3/8  x 13,424595724,PZ,54.26
DISCO AA GOLD    6 PERF 154  G.400,464502650,PZ,54.37
PALA GHERARDI FORJ POCERA       C/C,450814509,PZ,54.63
LIJA AA GOLD 24K  G.320,424595595,PZ,54.64
MACHO URANGA A/RAPIDO BSP 1    x 11,424594991,PZ,54.88
CINTA EVEL 503 FLEJE 17MM   3 MT,424574937,PZ,55.04
CORTINA P/BAÃ‘O RTO-PROTECT AMARILLO,450813093,PZ,55.06
MACHO TAP A/LAMINADO BSP 1/4 x 19,450813804,PZ,55.22
BIS FICHA P/SOLD REF  80-22   x 1.5,450814107,PZ,55.54
MECHA EZETA WIDIA CORTA 14 MM,424581089,PZ,55.85
TENSOR ACERO GALV IMP  1,424595494,PZ,55.85
