Item,Description,Unit,Cost
450814775,POLIET SIXCOM 3 x 200 x  50 NEGRO,PZ,17.51
450812631,CLAVO C/CHATA 12-50,PZ,17.6
450818526,PITON S/TOPE ABIERTO P/TACO 10 x 25,PZ,17.6
450812907,TELA MOSQ ALUM UNIV 0.92 x 30.0 MT,PZ,17.62
424582122,TELA M/SOMBRA  50 MT AZUL -BLAN 80%,CJ,17.65
450802132,GUARDACABO GALV 1,PZ,17.67
450600403,PICO GHERARDI PTA-PALA 102 MM C/CAB,PZ,17.76
424564170,CACEROLA FUND S/ENLOZAR N. 8,PZ,17.87
450800635,LIJA AA FENOB G. 40   120 x 45000,PZ,18
450814542,BANDA AA TELA  75x533 O/A MAD G. 40,PZ,18.12
450904903,GANCHO P/CAÃ‘O ESTRUCT 25 x  70,PQ,18.2
450812630,CLAVO C/CHATA 14-40,PZ,18.48
424596138,MACHETE GHERARDI N.18  457 MM,PZ,18.5
450801551,PITON HO PUL ESCUAD  21 -  60 x 100,PZ,18.51
450814816,MAQ ZONTA RTO-ALMOHADILLAS 64,PZ,18.51
450812776,PITON S/TOPE ESCUAD  P/TACO  5 x 50,PZ,18.53
450810551,POLIET SIXCOM 6 x 100 x  50 NEGRO,PZ,18.55
424501096,MECHA MAX PLANA P/MAD   13/16,PZ,18.72
450801560,MECHA EZETA COLA CONICA 16.25 MM,PZ,18.77
424564544,PITON S/TOPE ABIERTO P/TACO  6 x 50,PZ,18.86
424596139,BANDA AA TELA  75x457 O/A MAD G. 40,PZ,19
424596140,BANDA AA TELA  75x457 O/A MAD G. 50,PZ,19
424596141,BANDA AA TELA  75x457 O/A MAD G. 60,PZ,19
424596142,BANDA AA TELA  75x457 O/A MAD G. 80,PZ,19
424596144,BANDA AA TELA  75x457 O/A MAD G.100,PZ,19
424596145,BANDA AA TELA  75x457 O/A MAD G.120,PZ,19
424596146,BANDA AA TELA  75x508 O/A MAD G. 36,PZ,19
424596147,BANDA AA TELA  75x508 O/A MAD G. 40,PZ,19
424596148,BANDA AA TELA  64x410 O/A MAD G. 80,PZ,19
424596149,BANDA AA TELA  75x508 O/A MAD G. 50,PZ,19
424596150,BANDA AA TELA  64x410 O/A MAD G. 50,PZ,19
424596151,GRINFA EL ROBLE ACERO FORJADO N. 8,PZ,19
424596152,BANDA AA TELA  64x410 O/A MAD G.100,PZ,19
424596153,BANDA AA TELA  64x410 O/A MAD G. 60,PZ,19
424596154,GUANTE PVC ROJO P/LARGO  9 1/2,PZ,19
424596155,GUANTE PVC ROJO P/LARGO 10 1/2,PZ,19
424596156,GUANTE PVC ROJO P/CORTO 10 1/2,PZ,19
424596157,GUANTE PVC ROJO P/CORTO  9 1/2,PZ,19
424596158,GRINFA EL ROBLE ACERO FORJADO N.30,PZ,19
424596159,GRINFA EL ROBLE ACERO FORJADO N.22,PZ,19
424596160,GRINFA EL ROBLE ACERO FORJADO N.18,PZ,19
424596161,GRINFA EL ROBLE ACERO FORJADO N.16,PZ,19
424596162,GRINFA EL ROBLE ACERO FORJADO N.10,PZ,19
450817000,CADENA NUDO N.11,PZ,19.09
450813094,REGADERA PLAST 10 LT RTO-FLOR,PZ,19.14
450813070,RIEL DOBLE BLANCO 1.50 MT,PZ,19.15
450803929,CLAVO P/PARIS FRACC  5,PZ,19.17
424581722,REGLA EVEL METALICA  30 CM,PZ,19.24
450814787,PITON S/TOPE ABIERTO P/TACO 12 x 20,PZ,19.26
450800929,SEMILLA REFORZADA N. 8,PZ,19.28
450801012,PITON C/TOPE CERRADO BCE 21-70 x 50,PZ,19.33
450801391,MECHA EZETA COLA CONICA 13.50 MM,PZ,19.34
424564935,MECHA EZETA WIDIA BOSCH 10 x 110 MM,PZ,19.35
424564461,RIEGO KIT MANGUERA 1/2 x 15 MTS,PZ,19.51
424561015,CADENA P/PERRO N.15 LARGO 2.20 MT,PZ,19.73
424588814,CORTINA P/BAÃ‘O COMPLETA AMARILLA,PZ,19.73
424593634,PITON S/TOPE ESCUAD  P/TACO 10 x 25,PZ,19.74
424564592,RIEGO ROCIADOR GIRATORIO ACOPLE ESP,PZ,19.76
450801581,POLIET SIXCOM 2 x 200 x  50 CRISTAL,PZ,19.97
450810931,CABO P/HACHA   0.90 MT  RECTO,PZ,20.01
450819437,ABRAZ A/INOXIDABLE 5508 13 - 19 MM,PZ,20.17
450802422,CORREA SECCION A N.46,PZ,20.18
450802131,MECHA EZETA COLA CONICA 19.25 MM,PZ,20.28
424574048,ALAMB REC NEGRO N.22 0.71 MM,PZ,20.4
450812966,BALDE PLAST ALBAÃ‘IL MAGER,PZ,20.44
450812967,CADENA ONETO CALIBRADA N.50,PZ,20.44
450814408,PUNTA GHERARDI HEXAGONAL 18-21 200,PZ,20.45
450805115,LIJA AA COLORADO RUBI G. 40 E/G,PZ,20.49
450817074,HERRADURA ACANALADA PESADA 6,PZ,20.59
450814811,POLIET SIXCOM 3 x 200 x  50 CRISTAL,PZ,20.63
450814892,CABO P/PALA 1.20 MT,PZ,20.7
424580255,CLAVO CAJ PULIDO 12- 32 x 30 KG,PZ,20.76
424560348,MACHO URANGA A/ALEADO BSP  3/4 x 14,PZ,20.8
424589609,MAQ ZONTA CORTA CERAMICO 42 CM,PZ,20.8
424560303,TIJERA RTO-CAB COMP HUALA 42,PZ,21.41
450818406,ABRAZ A/INOXIDABLE 5510 14 - 22 MM,PZ,21.46
450813815,HERRADURA ACANALADA PESADA 5,PZ,21.59
424563019,TOR P/MECHA C/HEXAG  C/A 14 x 2,PZ,21.63
424595722,GRILLETE FORJ GALV   5/16 x   3/8,PZ,21.71
424589522,MECHA EZETA CILINDRICA A/R 18.00 MM,PZ,21.73
450813687,MECHA EZETA COLA CONICA 20.25 MM,PZ,21.74
450814098,MJA RTO-CLAVIJA HO BRONCEADO x 100,PZ,21.74
450813808,CABLE CORDON  2.0 MM 1 x 19,PZ,21.78
450800634,CABLE ACERO  8.0 MM 6 x 19+1,PZ,21.87
450817434,TENDEDERO EXTENS 9 V  80 CM,MT,21.9
450812965,BALDE PLAST ALBAÃ‘IL MAGER MJA INY,PZ,21.94
450814072,BIS FICHA P/SOLD REF  60- 8   x 2.5,PZ,22.04
450800364,CABO P/PALA 0.60 MT EMPUNAD METAL,MT,22.13
424560316,TOR P/MECHA C/HEXAG  C/A 14 x 1,PZ,22.35
450813814,MACHO URANGA A/RAPIDO M 22 x 1.50,PZ,22.36
450814815,BANDA AA TELA  75x533 O/A MAD G. 36,PZ,22.36
450806086,MECHA EZETA WIDIA BOSCH 22 x 250 MM,PZ,22.52
424580940,MACHO URANGA A/ALEADO BSP  1/2 x 14,PZ,22.69
450812928,BANDA AA TELA 100x610 O/A MAD G. 40,PZ,22.77
450804108,MECHA EZETA COLA CONICA 18.75 MM,PZ,22.83
450800789,MECHA EZETA COLA CONICA 23.50 MM,PZ,22.88
450812668,TABLA PLANCHAR PREMIUM S/PARRILLA,PZ,22.88
424564678,PALETA MATA MOSCA,PZ,22.9
424570448,PITON C/TOPE ABIERTO BCE 23-80 x 25,PZ,23
450803970,CABO P/PICO 0.90 MT,PZ,23.16
450814108,TOR P/MECHA C/FIJAD-PHIL  6 x   3/4,PZ,23.21
450812968,ALAMBRE PUAS S/BAGUAL 15-101 500 MT,PZ,23.39
450814011,CLAVO C/CHATA  8-25,PZ,23.46
424593703,CABO P/LIMA MATRICERO  75 A 150 MM,PZ,23.54
424593704,FLEX SIFOLIMP PVC REG 1/2 x 30 CM,PZ,23.54
450814101,CORTINA P/BAÃ‘O COMPLETA ROSA,PZ,23.61
424560076,SOGA TRENZ P/MOTOR EXPL 3.00 MM,PZ,23.62
450813647,MECHA EZETA COLA CONICA 39.50 MM,PZ,23.65
450812969,REGADERA PLAST  5 LT,PZ,23.67
450812929,TELA MOSQ ALUM UNIV 1.02 x 30.0 MT,PZ,23.68
424572082,CLAVO ESPIRALADO FRACC  5,PZ,23.74
424572084,CLAVO ESPIRALADO FRACC  6,PZ,23.74
450802614,GRAMPA P/CORREA N.45,PZ,23.87
424582151,REGATON REGULABLE 5/16 BASE CHICA,RL,23.92
450817112,MACHO URANGA A/ALEADO NF  3/4  x 16,PZ,23.92
424581005,ADAP HEXAG P/AUTOPERF  5/16x 65 MM,PZ,24
450806148,CLAVO C/PLOMO  76 MM x 100 U,PZ,24.01
450811724,PICO GHERARDI 2 PUNTAS LARGO 570 MM,PZ,24.03
450812289,TELA MOSQ ALUM UNIV 0.72 x 30.0 MT,RL,24.08
450811821,CORTAFRIO GHERARDI HEXAG 18-21 250,PZ,24.11
450814489,TENDEDERO EXTENS 9 V 100 CM,PZ,24.11
450813108,MECHA EZETA WIDIA BOSCH 25 x 250 MM,PZ,24.6
450810550,MALLA Q216 3x1.20 MT  25x25 x2.6 MM,PZ,24.65
450817316,CABLE ACERO 25.4 MM 6 x 19+1,PZ,24.65
450811258,BANDA AA TELA 100x610 O/A MAD G. 36,PZ,24.68
424595588,TENAZA GHERARDI ARMAD N.12 CA CHICA,PZ,24.72
424595589,PUNTA GHERARDI HEXAGONAL 18-21 400,PZ,24.72
450802962,CLAVO C/CHATA 10-25,PZ,24.82
450802423,MENSULA DOBLE BLANCA 470 MM,PZ,24.84
450804109,MECHA EZETA COLA CONICA  6.25 MM,PZ,24.98
450804113,MECHA EZETA COLA CONICA  6.50 MM,PZ,24.98
424595609,MARTILLO GHERARDI BOLITA 500 GR,PZ,25
424573158,TIJERA RTO-CUCHILLA HUALA 30,PZ,25.06
424595723,GRILLETE FORJ GALV   7/16 x   1/2,PZ,25.32
450812136,ABRAZ AMERICANA 3010   100 - 115 MM,PZ,25.48
424572683,SEMILLA REFORZADA N. 9,PZ,25.66
450814812,DISCO AA GOLD    6 PERF 154  G.150,PZ,25.75
424580074,BIS T/MUNICION C/AGUJ PUL   75x75,PZ,25.91
450803561,MECHA EZETA COLA CONICA 14.25 MM,PZ,25.96
450812363,CABLE CORDON 10.0 MM 1 x  7,PZ,26
450814053,POLIET SIXCOM 2 x 100 x 100 CRISTAL,PZ,26
450817002,TOR P/MECHA C/FIJAD-PHIL  8 x 1,PZ,26
424560529,TIJERA RTO-CAB COMP HUALA 24,PZ,26.05
424561058,TIJERA RTO-CAB COMP HUALA 18,PZ,26.05
450814100,TOPE AUTOADHESIVO REDONDO,PZ,26.38
450812869,CORREA SECCION A N.48,PZ,26.53
424560083,CLAVO ESCUADRA PUL 15 -  25,PZ,27.04
424570361,CLAVO CAJ PULIDO FRACC  14- 50,PZ,27.1
450813405,MECHA EZETA COLA CONICA 26.50 MM,PZ,27.38
450600054,LEBRILLO CHAPA GALV REF N.22  46 LT,PZ,27.51
424564545,CLAVO CAJ PULIDO FRACC  16- 63,PZ,27.56
450812482,SELLADOR APLICADOR A CREMALLERA NAC,PZ,27.73
450813307,CEPILLO ACERO CIRCULAR  4x1,PZ,27.74
413054469,TIJERA RTO-CAB COMP HUALA 30,PZ,28.05
450814999,CLAVO C/CHATA  8-30,PZ,28.06
450812636,CABLE ACERO  3.0 MM 6 x 19+1,PZ,28.08
450813635,MECHA EZETA COLA CONICA 41.00 MM,PZ,28.08
450817106,HERRADURA ACANALADA PESADA C/CLIP 1,PZ,28.4
450810811,TOR P/MECHA C/FIJAD-PHIL  8 x 1 1/2,PZ,28.49
450802213,CORREA SECCION A N.36,PZ,28.6
424564679,TIJERA RTO-CAB COMP HUALA 36,PZ,28.62
424595626,TENAZA GHERARDI CARP N. 6  152 MM,PZ,28.78
450800993,CLAVO ESCUADRA PUL 22 -  90,PZ,28.85
413051983,CLAVO CAJ PULIDO FRACC  12- 32,PZ,28.87
450810780,MECHA EZETA COLA CONICA 36.00 MM,PZ,29.12
450814631,MECHA BIASSONI P T E  3/8   CORTA,PZ,29.19
450803118,CLAVO ESPIRALADO 2 1/2  x 20 KG,PZ,29.37
450805148,ABRAZ AMERICANA 3005/5  50 -  65 MM,PZ,29.39
424595610,GRINFA EL ROBLE ACERO FORJADO N.20,PZ,29.42
424562003,CINTA EVEL 115 STANDARD    15 MT,PZ,29.67
450803930,DISCO AA GOLD    6 PERF 154  G.240,PZ,30.14
450811380,CUCHARA ROBLE P/ALBAÃ‘IL N. 7,PZ,30.16
450812670,MECHA EZETA COLA CONICA 42.00 MM,PZ,30.16
450814512,GRILLETE FORJ GALV   1/2  x   9/16,PZ,30.21
424560832,CUCHARA GHERARDI FORJ N. 9,PZ,30.24
450811671,MENSULA DOBLE NEGRA  270 MM,PZ,30.38
424560056,MENSULA DOBLE ECO BLANCA 270 MM,PZ,30.56
424582600,GANCHO P/CAÃ‘O ESTRUCT 50 x 150,BK,30.59
450818408,CABLE ACERO  9.5 MM 6 x 19+1,PZ,30.62
450800261,TOR P/MECHA C/FIJAD-PHIL  8 x   3/4,PZ,30.78
450803340,ENROLLADOR C/BASE,PZ,30.97
450802398,MACHO URANGA A/RAPIDO BSP  3/8 x 19,PZ,31.02
450804287,TABLA PLANCHAR PREMIUM C/PARRILLA,PZ,31.03
424570634,ALAMB REC NEGRO N.19 1.02 MM,PZ,31.14
424572809,CORTINA P/BAÃ‘O COMPLETA BEIGE,PZ,31.14
450801252,CLAVO C/PLOMO 101 MM x 100 U,PZ,31.14
450811269,CORREA SECCION A N.31,PZ,31.3
450810845,ABRAZ AMERICANA 3006    60 -  75 MM,PZ,31.35
424561259,CINTA EVEL 602 CAJA ZAMAC   2 MT,PZ,31.44
450813707,MECHA EZETA COLA CONICA 41.75 MM,PZ,31.81
424588362,CLAVO CAJ PULIDO 14- 45 x 30 KG,PZ,31.93
450905730,MECHA EZETA CILINDRICA A/R 13.50 MM,PZ,31.93
450905732,MECHA EZETA CILINDRICA A/R 12.00 MM,PZ,31.93
450905734,MECHA EZETA CILINDRICA A/R 11.50 MM,PZ,31.93
424582031,GANCHO P/CAÃ‘O ESTRUCT 30 x  80,PQ,32
450813071,MECHA EZETA COLA CONICA 39.75 MM,PZ,32.21
424570632,ARCO SIERRA CARNICERO C/HOJA 720 MM,PZ,32.24
424570633,MENSULA DOBLE NEGRA  370 MM,PZ,32.24
450812412,CORREA SECCION A N.49,PZ,32.28
450802550,TENDEDERO RTO-BASE CEMENTO,PZ,32.61
450813628,MECHA EZETA WIDIA BOSCH 16 x 300 MM,PZ,32.69
450801111,MECHA EZETA COLA CONICA 24.75 MM,PZ,32.81
450816307,BISAGRA T 8 MODELO 524,PZ,33.21
451301815,MECHA EZETA COLA CONICA 44.75 MM,PZ,33.21
424582029,MECHA EZETA WIDIA BOSCH  8 x 210 MM,PQ,33.28
424582030,MECHA NEIKE WIDIA RADIAL,PZ,33.28
450805765,MECHA BIASSONI P T E  1/2   CORTA,PZ,33.28
450813708,ELECTRODO ESAB P/AZUL 2.00 MM,PZ,33.28
424591027,CINTA EVEL 203 RETROFLEX    3 MT,PZ,33.43
450803564,MALLA ACINDAR 50x 50x2.6MM 1.0x24MT,PZ,33.59
424589273,GANCHO ESTIRA TEJ GALV 3/8  x 10,PZ,33.72
451401927,MACHO URANGA A/RAPIDO BSP  1/2 x 14,PQ,33.8
450802549,ALAMBRE PUAS BAGUAL   16-101 500 MT,PZ,33.89
450812955,MECHA EZETA COLA CONICA 27.00 MM,PZ,33.89
450810495,MECHA EZETA COLA CONICA 37.75 MM,PZ,33.96
424593691,MACHO URANGA A/RAPIDO NF 1     x 12,PZ,34.15
424593692,SOPAPA ACERO DE LAVATORIO 40 MM,PZ,34.15
450804917,MECHA EZETA COLA CONICA  5.00 MM,PZ,34.18
450801243,CEPILLO ACERO CIRCULAR  5x1,PZ,34.32
450814177,LIJA AA FENOB G. 50   150 x 45000,PZ,34.42
424595646,TENAZA GHERARDI CARP N. 9  233 MM,PZ,34.45
424595647,TENAZA GHERARDI CARP N.10  251 MM,PZ,34.45
424595648,BANDA AA TELA  75x508 O/A MAD G. 60,PZ,34.45
450804395,CLAVO C/CHATA 15-50,PZ,34.82
450814191,MECHA EZETA COLA CONICA 24.00 MM,PZ,34.94
450813406,CABLE ACERO 16.0 MM 6 x 19+1,PZ,34.96
424594301,MACHO TAP A/LAMINADO NF    8  x 36,PZ,35
413062683,MACHO URANGA A/RAPIDO NF    12 x 28,PZ,35.09
450812502,CORREA SECCION A N.59,MT,35.36
450802214,CABO P/GUADAÃ‘A COMPLETO,PZ,35.52
424590120,ARCO SIERRA CARNICERO C/HOJA 620 MM,PQ,35.56
450805370,GRIFERIA VENUS COCINA MESADA BLANCO,PZ,35.8
424595670,FLEX DUKE PLAST CONEX MET 1/2 x 20,PZ,35.86
424595671,FLEX DUKE EXTENSIBLE 50 x 40-50 MM,PZ,35.86
424595672,BANDA AA TELA  50x478 O/A MET G.100,PZ,35.86
413062440,PITON P/MAD SOLDADO  25 - 110 x 25,PZ,35.89
450802228,CALENTADOR P/GAS GRANDE ENLOZADO,PZ,35.9
464502644,MACHO TAP A/LAMINADO NF  3/16 x 32,PZ,35.9
424589523,MECHA EZETA CILINDRICA A/R 18.25 MM,PZ,36.23
450817080,BANDA AA TELA  75x610 O/A MAD G. 36,PZ,36.23
450804850,MECHA EZETA COLA CONICA 30.75 MM,PZ,36.31
424591730,CLAVO ACERO GALV 3.0 - 60 x 100,PZ,36.4
424595611,ACOPLE DUKE COMPRESION PROF 3/4,PZ,36.54
450811659,MECHA EZETA COLA CONICA 38.00 MM,PZ,36.67
450810555,GUANTE LATEX P/CORTO  9 1/2,PZ,36.9
424583418,GANCHO P/CAÃ‘O ESTRUCT 40 x 100,CJ,36.92
424573123,PITON HO PUL ESCUAD  16 -  30 x 200,PZ,37
450300349,TABLA PLANCHAR ESPECIAL S/PARRILLA,PZ,37.01
450802323,MECHA EZETA COLA CONICA 14.75 MM,PZ,37.18
424561014,GANCHO P/CAÃ‘O ESTRUCT 50 x 100,PZ,37.37
424580252,CORREA SECCION A N.53,PZ,37.37
424574184,COLLAR SUELA N.12 LISO - 29 CM,PZ,37.44
424594300,MACHO TAP A/LAMINADO NC  1/2 x 13,PZ,37.44
450814125,MECHA EZETA COLA CONICA 18.00 MM,KG,37.44
450811787,MECHA EZETA COLA CONICA 36.50 MM,KG,37.7
413063888,PICO GHERARDI PUNTA-HACHA,PZ,37.76
450819592,MECHA EZETA COLA CONICA 25.25 MM,PZ,38.02
424560214,CORTINA P/BAÃ‘O COMPLETA AZUL,PZ,38.17
450905872,CLAVO ESPIRALADO 1      x 20 KG,PQ,38.42
424582025,MECHA EZETA MULTIMATERIAL 12 MM,PQ,38.48
450813095,TENSOR ACERO GALV IMP  5/16,PZ,38.48
450802324,CORREA SECCION O N.20,PZ,38.58
450800894,ABRAZ AMERICANA 3002    25 -  35 MM,PZ,38.6
450814893,MACHO URANGA A/RAPIDO M 14 x 1.00,PZ,38.69
450813665,MECHA EZETA COLA CONICA 40.75 MM,PZ,38.93
450813725,TENDEDERO RODANTE GRANDE,CJ,39.45
450812451,MECHA EZETA COLA CONICA 42.25 MM,PZ,39.52
450812741,RIEGO SOPORTE DE MANGUERA,PZ,39.62
424561789,TEJIDO P/CERDO  7Hx0.65x15x12,PZ,39.86
424593699,TOR P/MECHA WIN 10 - 16 x 1 5/8,PZ,40.02
424593700,TOR P/MECHA WIN 12 - 14 x 2,PZ,40.02
424593701,TOR P/MECHA WIN 12 - 14 x 2 1/2,PZ,40.02
424593702,FLEX SIFOLIMP PVC REG 1/2 x 20 CM,PZ,40.02
450814190,MECHA EZETA COLA CONICA 29.00 MM,PZ,40.04
450805749,MECHA EZETA COLA CONICA 13.25 MM,PZ,40.56
450814624,ABRAZ AMERICANA 3009    90 - 105 MM,PZ,40.58
450804117,PICO GHERARDI PTA-PALA  62 MM C/CAB,PZ,41.01
450813072,MECHA EZETA COLA CONICA 40.00 MM,PZ,41.15
424582141,MECHA EZETA WIDIA BOSCH  8 x 160 MM,PZ,41.31
450801690,CEPILLO ALAMBRE ACERO  RECTANG 6x19,PZ,41.59
424580478,CARCIMA 1023 SACAYUYO MANUAL,PZ,41.6
450813666,CORREA SECCION A N.47,PZ,41.68
450811658,ABRAZ AMERICANA 3011   110 - 125 MM,PZ,41.86
413051297,CINTA PELIGRO 8 CM x 200 MT,PZ,42.04
450802700,PITON HO PUL ESCUAD  21 -  70 x 100,PZ,42.17
424595596,LIJA AA GOLD 24K  G.360,PZ,42.29
450801120,MECHA EZETA COLA CONICA 15.75 MM,PZ,42.37
450906030,MECHA EZETA CILINDRICA A/R  0.80 MM,PZ,42.5
450814306,CADENA MAGER TORCIDO CORTO N. 25,PZ,42.64
424593684,MACHO URANGA A/RAPIDO NF  7/16 x 20,PZ,42.92
450814176,CORREA SECCION O N.23,PZ,43.18
424574018,BIS T/MUNICION C/AGUJ CINC 100x75,PZ,43.24
424593635,PITON S/TOPE ESCUAD  P/TACO  8 x 50,PZ,43.41
424594298,MACHO URANGA A/ALEADO BSP 1    x 11,PZ,43.41
424594299,MACHO URANGA A/ALEADO BSP  7/8 x 14,PZ,43.41
450812671,MECHA EZETA COLA CONICA 38.75 MM,KG,43.68
450804616,SELLADOR S-28 SILIC NEGRO  300 GR,PZ,43.7
450802145,DISCO AA GOLD    6 PERF 154  G.280,PZ,43.89
450802271,REGULADOR PAZ P/GARR S/MANGUERA,PZ,44.02
451305369,LIMPIAMANOS ALLEMANDI POLVO   x15KG,PZ,44.08
424593683,MACHO URANGA A/RAPIDO NF  3/8  x 24,PZ,44.26
450813910,CLAVO P/PARIS FRACC  3,PZ,44.26
450804118,CLAVO ACERO ESC GALV 4.0 - 70 x 50,PZ,44.39
450800222,CLAVO ESCUADRA PUL 21 -  90,PZ,44.42
450813598,MECHA EZETA COLA CONICA 31.00 MM,PZ,44.55
450812704,CADENA NUDO N.12,MT,44.65
450814523,PICO GHERARDI PALA-HACHA  75 MM C/C,PZ,44.75
450803055,TIJERA GHERARDI CORTA PERNOS 14,PZ,45.05
424590137,CARCIMA 1022 CULTIVADOR 3 GARRAS,PQ,45.32
450814628,GANCHO CONTRA VIENTO 24 - 160 x 15,PZ,45.45
450802151,MECHA EZETA COLA CONICA 40.25 MM,PZ,45.55
424593602,MACHO URANGA A/RAPIDO NF  1/4  x 28,PZ,45.65
424570558,DESTAPAPILETA EL ABUELO CINTA  5 MT,PZ,45.67
450801685,HERRADURA ACANALADA PESADA C/CLIP 4,PZ,45.72
450800996,CACEROLA FUND S/ENLOZAR N. 3,PZ,45.76
450801684,LIJA AA FENOB G.120   120 x 45000,PZ,45.76
422001482,CADENA P/PERRO N. 8 LARGO 2.20 MT,PZ,45.78
450804933,CLAVO C/CHATA 16-63,PZ,46.29
450813032,DESTAPACAÃ‘ERIA CINTA ACERO 15 MT,PZ,46.42
424595627,BANDA AA TELA  75x508 O/A MAD G. 80,PZ,46.47
450813603,ALAMB REC NEGRO N.16 x 1 KG,PZ,46.71
450804420,MACHO URANGA A/RAPIDO M 18 x 1.50,PZ,46.72
424595612,MARTILLO GHERARDI GALP C/UÃ‘A 500 GR,PZ,46.99
424582922,MECHA EZETA DE CENTRAR 6.30 MM,PZ,47.01
450800666,MECHA EZETA COLA CONICA 20.50 MM,PZ,47.16
450802613,MACHO TAP A/LAMINADO NF  7/16 x 20,PZ,47.42
450817003,GANCHO P/ARMARIO BCE 40 MM x 100,PZ,47.5
450812173,DISCO AA GOLD    6 PERF 154  G.100,PZ,47.61
450813987,MACHO URANGA A/ALEADO NF  1/2  x 20,PZ,47.84
450818795,MECHA EZETA COLA CONICA 46.50 MM,PZ,47.84
424595629,TENAZA GHERARDI CARP N. 8  203 MM,PZ,47.91
450811912,CADENA NUDO N.18,PZ,47.96
424580343,GANCHO CONTRA VIENTO 22 - 120 x 25,PZ,48
413051199,ALAMB REC NEGRO N.16 1.63 MM,PZ,48.33
450812501,MECHA EZETA COLA CONICA 33.25 MM,PZ,48.56
450813317,CORREA SECCION O N.24,PZ,48.88
450817271,PITON S/TOPE ABIERTO P/TACO  8 x 50,PZ,48.88
424580002,MECHA EZETA DE CENTRAR 1.60 MM,PZ,48.91
450301149,CABO P/MARTILLO LABRADO 0.35 MT,PZ,48.98
450819689,MECHA EZETA CILINDRICA A/R 10.00 MM,PZ,49
450812903,MECHA EZETA COLA CONICA 32.00 MM,PZ,49.22
424595597,LIJA AA GOLD 24K  G.400,PZ,49.29
424580058,MECHA EZETA JUEGO A/R Y WIDIA x 9 U,PQ,49.33
424582130,GANCHO P/CAÃ‘O ESTRUCT 35 x 100,BA,49.48
450814912,MACHO URANGA A/ALEADO M 16 x 1.50,PZ,49.61
450801683,NIVEL EVEL ALUMINIO  60 CM,PZ,49.76
424580014,CADENA P/PERRO N.18 LARGO 1.70 MT,PQ,50.23
450900403,PITON HO PUL ESCUAD  23 -  80 x 100,PZ,50.34
450900404,PITON HO PUL ESCUAD  23 -  70 x 100,PZ,50.34
450801837,LIJA AA FENOB G. 36   150 x 45000,PZ,50.69
424595579,AZADA GHERARDI CARPIR N.2,PZ,50.83
424595580,AZADA GHERARDI ALGODONERA N.0,PZ,50.83
424595581,AZADA GHERARDI ALGODONERA N.1,PZ,50.83
424595582,AZADA GHERARDI ALGODONERA N.2,PZ,50.83
424595583,AZADA GHERARDI 2 AGUJEROS,PZ,50.83
450803940,BANDA AA TELA  75x533 O/A MAD G. 60,PZ,50.97
450817312,MECHA EZETA WIDIA BOSCH 14 x 350 MM,PZ,51.02
450812770,MACHO URANGA A/RAPIDO M 20 x 1.50,PZ,51.16
450818405,MECHA EZETA COLA CONICA 13.00 MM,PZ,51.88
424588359,CLAVO CAJ PULIDO 12- 28 x 30 KG,CJ,51.9
424588360,CLAVO CAJ PULIDO 12- 30 x 30 KG,CJ,51.9
450804617,CAÃ‘O CRISTAL  5 -  8  x  50 MT,PZ,51.94
424592740,CADENA P/PERRO N.13 LARGO 1.70 MT,PZ,52
424592810,MECHA EZETA WIDIA LARGA 200 12 MM,CJ,52
424592811,CADENA P/PERRO N.13 LARGO 1.40 MT,CJ,52
450801732,MECHA EZETA COLA CONICA 28.00 MM,PZ,52
450801733,MECHA EZETA COLA CONICA 27.75 MM,PZ,52
450805937,MACHO URANGA A/RAPIDO M 12 x 1.25,PZ,52.36
424560271,CINTA EVEL 120 STANDARD    20 MT,PZ,52.5
450802194,PICO GHERARDI PALA-HACHA 102 MM C/C,PZ,52.64
424593688,MACHO URANGA A/RAPIDO NF  5/8  x 18,PZ,52.74
450817012,TELA MOSQ ALUM UNIV 1.12 x 30.0 MT,PZ,52.74
450802701,CADENA NUDO N. 9,PZ,52.89
424591344,GANCHO P/CAÃ‘O ESTRUCT 40 x  80,FR,52.94
450804935,GUARDACABO GALV   1/2,PZ,53
450813600,CORREA SECCION O N.22,PZ,53.04
424595628,TENAZA GHERARDI CARP N. 7  178 MM,PZ,53.25
424574936,TIJERA RTO-CUCHILLA HUALA 18,PZ,53.56
450814579,MECHA EZETA COLA CONICA 34.75 MM,PZ,53.59
424560094,MECHA EZETA DE CENTRAR 5.00 MM,PZ,53.73
450813038,CUCHARA GHERARDI FORJ N. 5 1/2,PZ,53.82
424595724,GANCHO ESTIRA TEJ GALV 3/8  x 13,PZ,54.26
464502650,DISCO AA GOLD    6 PERF 154  G.400,PZ,54.37
450814509,PALA GHERARDI FORJ POCERA       C/C,PZ,54.63
424595595,LIJA AA GOLD 24K  G.320,PZ,54.64
424594991,MACHO URANGA A/RAPIDO BSP 1    x 11,PZ,54.88
424574937,CINTA EVEL 503 FLEJE 17MM   3 MT,PZ,55.04
450813093,CORTINA P/BAÃ‘O RTO-PROTECT AMARILLO,PZ,55.06
450813804,MACHO TAP A/LAMINADO BSP 1/4 x 19,PZ,55.22
450814107,BIS FICHA P/SOLD REF  80-22   x 1.5,PZ,55.54
424581089,MECHA EZETA WIDIA CORTA 14 MM,PZ,55.85
424595494,TENSOR ACERO GALV IMP  1,PZ,55.85
