Sale Date,Product,Brand,Category,Branch,Vendor,Payment,Unit cost,Unit selling price,Quantity
43348,LICUADORA,DATSUN,Electro,San Angel,Mnarduzzi,Credit Card,740,1349,5
43348,FREEZER,PHILIPS,Línea Blanca,Del Valle,Ggonzalez,Credit Card,7870,12109,30
43349,REPRODUCTOR MP3,PHILIPS,Audio,San Angel,Mnarduzzi,Credit Card,970,1759,10
43349,LICUADORA,AUDIOLOGIC,Electro,San Angel,Mnarduzzi,Credit Card,560,1019,30
43352,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Credit Card,1870,3119,25
43353,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,Abasto,Dsandoval,Credit Card,9590,13699,7
43353,CAFETERA,ELECTROLUX,Electro,San Angel,Mnarduzzi,Credit Card,740,1349,36
43354,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Roma,Ccarrizo,Credit Card,11840,16909,6
43354,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,Centro,Agomez,Cash,2470,4119,24
43355,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,Del Valle,Ggonzalez,Credit Card,2470,4119,10
43356,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Cash,2470,4119,40
43356,LICUADORA,WHIRLPOOL,Electro,Coyoacan,Scorrales,Credit Card,560,1019,35
43359,LAVAVAJILLAS,GAFA,Línea Blanca,Abasto,Dsandoval,Cash,17090,24409,10
43359,FREEZER,ARISTON,Línea Blanca,Roma,Ccarrizo,Credit Card,7870,12109,45
43360,LAVAVAJILLAS,WHIRLPOOL,Línea Blanca,Centro,Srambaldo,Cash,11990,17129,30
43361,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Cash,1870,3119,10
43361,LAVAVAJILLAS,AUDIOLOGIC,Línea Blanca,Del Valle,Ggonzalez,Credit Card,17090,24409,5
43362,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,Abasto,Dsandoval,Credit Card,9590,13699,25
43362,LICUADORA,ELECTROLUX,Electro,Coyoacan,Scorrales,Credit Card,740,1349,30
43363,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,Roma,Ccarrizo,Cash,11840,16909,36
43366,LAVAVAJILLAS,WHIRLPOOL,Línea Blanca,Centro,Srambaldo,Cash,17090,24409,7
43366,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,Del Valle,Ggonzalez,Credit Card,11840,16909,6
43367,COCINA,DATSUN,Línea Blanca,San Angel,Mnarduzzi,Credit Card,9370,13389,24
43367,REPRODUCTOR MP3,WHIRLPOOL,Audio,Coyoacan,Scorrales,Cash,970,1759,10
43368,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,Abasto,Dsandoval,Cash,11840,16909,40
43369,HELADERA CON FREEZER,ARISTON,Línea Blanca,Roma,Mloibiso,Credit Card,11840,16909,35
43369,LAVAVAJILLAS,WHIRLPOOL,Línea Blanca,Centro,Srambaldo,Credit Card,11990,17129,10
43370,REPRODUCTOR DE DVD,GAFA,TV/Video/DVD,San Angel,Mnarduzzi,Cash,1870,3119,30
43370,LAVAVAJILLAS,AUDIOLOGIC,Línea Blanca,Del Valle,Ggonzalez,Cash,17090,24409,45
43373,HELADERA CON FREEZER,ARISTON,Línea Blanca,Coyoacan,Scorrales,Credit Card,9520,13599,5
43374,LAVAVAJILLAS,PHILIPS,Línea Blanca,Abasto,Dsandoval,Credit Card,11990,17129,10
43374,LICUADORA,WHIRLPOOL,Electro,Roma,Mloibiso,Cash,740,1349,30
43375,LAVAVAJILLAS,PHILIPS,Línea Blanca,Centro,Srambaldo,Cash,17090,24409,25
43375,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Del Valle,Mnoguera,Credit Card,7490,11519,36
43376,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Credit Card,7490,11519,7
43377,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Abasto,Dsandoval,Cash,9590,13699,24
43377,REPRODUCTOR Y GRABADORA DE DVD,ELECTROLUX,TV/Video/DVD,Coyoacan,Scorrales,Cash,7490,11519,6
43380,LICUADORA,NOBLEX,Electro,Roma,Mloibiso,Credit Card,740,1349,10
43380,REPRODUCTOR MP3,PHILIPS,Audio,Centro,Srambaldo,Credit Card,1040,1729,40
43381,LICUADORA,WHIRLPOOL,Electro,Del Valle,Mnoguera,Cash,740,1349,35
43382,AIRE ACONDICIONADO,WHIRLPOOL,Aire Acondicionado,San Angel,Mnarduzzi,Cash,6740,10369,2
43382,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,Coyoacan,Scorrales,Credit Card,11840,16909,3
43383,COCINA,AUDIOLOGIC,Línea Blanca,Centro,Srambaldo,Credit Card,9370,13389,5
43383,REPRODUCTOR DE DVD,ELECTROLUX,TV/Video/DVD,Centro,Srambaldo,Cash,1870,3119,6
43384,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,San Angel,Mnarduzzi,Cash,9590,13699,10
43387,AIRE ACONDICIONADO,PHILCO,Aire Acondicionado,Abasto,Dsandoval,Credit Card,6740,10369,12
43387,RADIOGRABADOR ,ARISTON,Audio,Roma,Mloibiso,Credit Card,670,1219,21
43388,LAVAVAJILLAS,ARISTON,Línea Blanca,Centro,Srambaldo,Cash,11990,17129,18
43388,LAVAVAJILLAS,PHILCO,Línea Blanca,Del Valle,Mnoguera,Cash,11990,17129,15
43389,RADIOGRABADOR ,WHIRLPOOL,Audio,San Angel,Mnarduzzi,Credit Card,670,1219,12
43390,RADIO RELOJ CR-001,PHILCO,Audio,Abasto,Dsandoval,Cash,290,529,5
43390,HELADERA CON FREEZER,AUDIOLOGIC,Línea Blanca,Coyoacan,Scorrales,Credit Card,11840,16909,4
43391,RADIOGRABADOR ,ARISTON,Audio,Roma,Mloibiso,Cash,670,1219,8
43391,LAVARROPAS,ARISTON,Línea Blanca,Centro,Srambaldo,Cash,10720,15309,7
43394,LAVARROPAS,AUDIOLOGIC,Línea Blanca,Del Valle,Mnoguera,Cash,10720,15309,9
43395,REPRODUCTOR DE DVD,ARISTON,TV/Video/DVD,San Angel,Mnarduzzi,Cash,1870,3119,10
43395,LAVAVAJILLAS,ARISTON,Línea Blanca,Coyoacan,Scorrales,Cash,11990,17129,5
43396,LAVARROPAS,PHILCO,Línea Blanca,Abasto,Dsandoval,Cash,10720,15309,6
43396,RADIOGRABADOR ,PHILIPS,Audio,Roma,Mloibiso,Cash,670,1219,8
43397,DEPILADORA,PHILIPS,Depiladoras,Centro,Srambaldo,Cash,890,1619,4
43398,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Cash,7490,11519,2
43398,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Del Valle,Mnoguera,Cash,7490,11519,3
43401,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Centro,Srambaldo,Cash,7490,11519,6
43401,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Coyoacan,Scorrales,Cash,7490,11519,1
43402,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Centro,Srambaldo,Cash,7490,11519,5
43403,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Centro,Srambaldo,Cash,7490,11519,9
43403,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",WHIRLPOOL,TV/Video/DVD,Coyoacan,Scorrales,Cash,7490,11519,8
43404,RADIOGRABADOR,PHILIPS,Audio,Abasto,Dsandoval,Cash,670,1219,4
43404,COCINA,PHILCO,Línea Blanca,Roma,Mloibiso,Cash,9370,13389,7
43405,LICUADORA,WHIRLPOOL,Electro,Roma,Mloibiso,Cash,560,1019,5
43408,COCINA,ARISTON,Línea Blanca,Centro,Srambaldo,Cash,10120,14459,6
43408,LAVAVAJILLAS,AUDIOLOGIC,Línea Blanca,Del Valle,Mnoguera,Cash,11990,17129,2
43409,REPRODUCTOR DE DVD,PHILCO,TV/Video/DVD,San Angel,Mnarduzzi,Cash,1870,3119,3
43409,RADIOGRABADOR ,PHILIPS,Audio,Coyoacan,Scorrales,Cash,670,1219,25
43410,LICUADORA,PHILIPS,Electro,Coyoacan,Scorrales,Cash,560,1019,15
43411,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Coyoacan,Scorrales,Cash,7490,11519,8
43411,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Coyoacan,Scorrales,Cash,7490,11519,9
43412,DEPILADORA,PHILIPS,Depiladoras,Abasto,Dsandoval,Credit Card,890,1619,45
43412,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Coyoacan,Scorrales,Cash,7490,11519,10
43415,DEPILADORA,ARISTON,Depiladoras,Roma,Mloibiso,Credit Card,890,1619,30
43416,LAVAVAJILLAS,PHILCO,Línea Blanca,Centro,Srambaldo,Credit Card,11990,17129,5
43416,RADIOGRABADOR ,PHILIPS,Audio,Del Valle,Mnoguera,Credit Card,670,1219,10
43417,PROCESADORA,PHILIPS,Electro,San Angel,Mnarduzzi,Credit Card,1460,2429,30
43417,DEPILADORA,PHILCO,Depiladoras,Coyoacan,Scorrales,Credit Card,890,1619,25
43418,RADIOGRABADOR ,WHIRLPOOL,Audio,Abasto,Dsandoval,Credit Card,670,1219,36
43419,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Abasto,Dsandoval,Credit Card,11840,16909,7
43419,PROCESADORA,AUDIOLOGIC,Electro,Roma,Mloibiso,Credit Card,1460,2429,6
43422,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Centro,Srambaldo,Credit Card,1870,3119,24
43422,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Del Valle,Mnoguera,Credit Card,11840,16909,10
43423,DEPILADORA,PHILIPS,Depiladoras,San Angel,Mnarduzzi,Credit Card,890,1619,40
43424,PROCESADORA,PHILIPS,Electro,Abasto,Dsandoval,Credit Card,1460,2429,10
43424,PROCESADORA,PHILIPS,Electro,Coyoacan,Scorrales,Credit Card,1460,2429,35
43425,CAFETERA,DATSUN,Electro,Roma,Mloibiso,Credit Card,740,1349,22
43425,REPRODUCTOR MP3,PHILIPS,Audio,Centro,Srambaldo,Cash,970,1759,10
43426,CAFETERA,PHILIPS,Electro,Del Valle,Mnoguera,Credit Card,740,1349,30
43429,PROCESADORA,ARISTON,Electro,San Angel,Mnarduzzi,Cash,1460,2429,15
43429,LAVAVAJILLAS,NOBLEX,Línea Blanca,Coyoacan,Scorrales,Credit Card,11990,17129,8
43430,REPRODUCTOR MP3,WHIRLPOOL,Audio,Abasto,Dsandoval,Cash,1040,1729,30
43430,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,Roma,Mloibiso,Credit Card,11840,16909,7
43431,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Centro,Srambaldo,Cash,11840,16909,6
43432,PROCESADORA,AUDIOLOGIC,Electro,San Angel,Mnarduzzi,Cash,1460,2429,10
43432,LICUADORA,PHILIPS,Electro,Del Valle,Mnoguera,Credit Card,560,1019,24
43433,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Abasto,Dsandoval,Cash,7880,12119,35
43433,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,Coyoacan,Esaralegui,Credit Card,1870,3119,40
43436,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Roma,Mloibiso,Credit Card,7880,12119,10
43437,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Centro,Srambaldo,Cash,7880,12119,22
43437,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Del Valle,Mnoguera,Credit Card,7880,12119,10
43438,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Cash,7880,12119,30
43438,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Coyoacan,Esaralegui,Credit Card,7880,12119,15
43439,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Abasto,Dsandoval,Cash,7880,12119,8
43440,CAFETERA,GAFA,Electro,Roma,Mloibiso,Credit Card,740,1349,30
43440,HELADERA CON FREEZER,ELECTROLUX,Línea Blanca,Centro,Srambaldo,Cash,9520,13599,7
43443,CAFETERA,AUDIOLOGIC,Electro,San Angel,Mnarduzzi,Cash,740,1349,24
43443,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Del Valle,Mnoguera,Credit Card,9590,13699,6
43444,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,Coyoacan,Esaralegui,Credit Card,1870,3119,10
43445,PROCESADORA,GAFA,Electro,Abasto,Dsandoval,Cash,1460,2429,40
43445,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Roma,Mloibiso,Credit Card,9520,13599,35
43446,PROCESADORA,PHILIPS,Electro,Centro,Srambaldo,Cash,1460,2429,10
43446,PROCESADORA,PHILIPS,Electro,Del Valle,Mnoguera,Credit Card,1460,2429,22
43447,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Cash,7490,11519,10
43450,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Abasto,Dsandoval,Cash,7490,11519,15
43450,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Coyoacan,Esaralegui,Credit Card,7490,11519,30
43451,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Roma,Mloibiso,Credit Card,7490,11519,8
43451,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Centro,Srambaldo,Cash,7490,11519,30
43451,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Del Valle,Mnoguera,Credit Card,7490,11519,7
43452,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Cash,7490,11519,6
43452,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Coyoacan,Esaralegui,Credit Card,7490,11519,24
43453,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Abasto,Dsandoval,Cash,7490,11519,10
43453,LICUADORA,AUDIOLOGIC,Electro,Roma,Mloibiso,Credit Card,560,1019,40
43453,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,Centro,Srambaldo,Cash,1870,3119,35
43454,HELADERA CON FREEZER,PHILIPS,Línea Blanca,San Angel,Mnarduzzi,Cash,9590,13699,22
43454,PROCESADORA,ELECTROLUX,Electro,Del Valle,Mnoguera,Credit Card,1460,2429,10
43457,CAFETERA,DATSUN,Electro,Abasto,Dsandoval,Cash,740,1349,30
43457,REPRODUCTOR MP3,GAFA,Audio,Roma,Mloibiso,Credit Card,970,1759,15
43457,LICUADORA,PHILIPS,Electro,Coyoacan,Esaralegui,Credit Card,560,1019,10
43458,HELADERA CON FREEZER,ELECTROLUX,Línea Blanca,Centro,Srambaldo,Cash,9520,13599,8
43458,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Del Valle,Mnoguera,Credit Card,9590,13699,30
43459,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Abasto,Dsandoval,Cash,11840,16909,4
43459,LICUADORA,AUDIOLOGIC,Electro,San Angel,Mnarduzzi,Cash,560,1019,45
43459,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Coyoacan,Esaralegui,Credit Card,1870,3119,10
43460,LICUADORA,PHILIPS,Electro,Roma,Mloibiso,Credit Card,560,1019,50
43460,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Centro,Srambaldo,Credit Card,7490,11519,8
43461,REPRODUCTOR Y GRABADORA DE DVD,ELECTROLUX,TV/Video/DVD,San Angel,Mnarduzzi,Credit Card,7490,11519,9
43461,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Del Valle,Mnoguera,Credit Card,7490,11519,7
43461,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Coyoacan,Esaralegui,Credit Card,9590,13699,5
43464,BATIDORA MANUAL,NOBLEX,Electro,Abasto,Dsandoval,Cash,1160,1929,25
43464,REPRODUCTOR MP3,PHILIPS,Audio,Roma,Mloibiso,Cash,1040,1729,15
43465,HELADERA CON FREEZER,ELECTROLUX,Línea Blanca,San Angel,Mnarduzzi,Cash,11840,16909,6
43465,BATIDORA MANUAL,GAFA,Electro,Centro,Srambaldo,Cash,1160,1929,26
43465,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,Del Valle,Mnoguera,Cash,9520,13599,4
43466,BATIDORA MANUAL,Philips,Electro,Del Valle,Ggonzalez,Credit Card,1160,1929,30
43466,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Coyoacan,Esaralegui,Cash,9590,13699,7
