Enrollment date,Machine,Participant,Time of use (minutes)
2021-09-30 00:00:00,Machine 3,Participant 52,132
2021-08-27 00:00:00,Machine 9,Participant 65,142
2021-08-09 00:00:00,Machine 8,Participant 46,126
2021-09-27 00:00:00,Machine 6,Participant 30,142
2021-10-14 00:00:00,Machine 8,Participant 51,152
2021-09-16 00:00:00,Machine 6,Participant 57,136
2021-10-05 00:00:00,Machine 2,Participant 64,135
2021-09-08 00:00:00,Machine 3,Participant 66,156
2021-08-10 00:00:00,Machine 10,Participant 45,143
2021-11-12 00:00:00,Machine 2,Participant 22,141
2021-08-16 00:00:00,Machine 4,Participant 61,124
2021-11-16 00:00:00,Machine 5,Participant 28,177
2021-09-27 00:00:00,Machine 1,Participant 11,117
2021-09-05 00:00:00,Machine 5,Participant 9,153
2021-08-05 00:00:00,Machine 2,Participant 35,162
2021-10-29 00:00:00,Machine 7,Participant 51,154
2021-11-20 00:00:00,Machine 8,Participant 63,161
2021-10-24 00:00:00,Machine 5,Participant 41,114
2021-08-29 00:00:00,Machine 7,Participant 5,125
2021-11-16 00:00:00,Machine 1,Participant 36,154
2021-08-03 00:00:00,Machine 8,Participant 56,143
2021-08-06 00:00:00,Machine 7,Participant 58,156
2021-08-05 00:00:00,Machine 1,Participant 4,134
2021-08-16 00:00:00,Machine 6,Participant 29,158
2021-10-05 00:00:00,Machine 5,Participant 4,127
2021-10-20 00:00:00,Machine 3,Participant 17,130
2021-11-17 00:00:00,Machine 4,Participant 57,148
2021-10-20 00:00:00,Machine 3,Participant 16,171
2021-10-18 00:00:00,Machine 6,Participant 35,133
2021-08-16 00:00:00,Machine 3,Participant 41,153
2021-09-04 00:00:00,Machine 9,Participant 29,134
2021-11-21 00:00:00,Machine 3,Participant 6,142
2021-09-02 00:00:00,Machine 2,Participant 1,148
2021-08-03 00:00:00,Machine 6,Participant 28,160
2021-08-20 00:00:00,Machine 6,Participant 44,111
2021-08-01 00:00:00,Machine 2,Participant 6,130
2021-11-10 00:00:00,Machine 3,Participant 69,142
2021-10-24 00:00:00,Machine 10,Participant 56,139
2021-08-20 00:00:00,Machine 1,Participant 38,125
2021-09-08 00:00:00,Machine 10,Participant 1,157
2021-09-26 00:00:00,Machine 6,Participant 13,143
2021-10-14 00:00:00,Machine 10,Participant 28,125
2021-11-05 00:00:00,Machine 2,Participant 61,164
2021-11-30 00:00:00,Machine 6,Participant 26,146
2021-08-17 00:00:00,Machine 9,Participant 13,132
2021-09-18 00:00:00,Machine 5,Participant 58,132
2021-10-29 00:00:00,Machine 10,Participant 46,124
2021-10-16 00:00:00,Machine 6,Participant 10,150
2021-10-01 00:00:00,Machine 7,Participant 45,124
2021-10-21 00:00:00,Machine 1,Participant 28,133
2021-11-10 00:00:00,Machine 7,Participant 28,156
2021-08-20 00:00:00,Machine 2,Participant 53,139
2021-10-28 00:00:00,Machine 2,Participant 25,150
2021-11-12 00:00:00,Machine 6,Participant 58,173
2021-09-23 00:00:00,Machine 1,Participant 61,143
2021-10-20 00:00:00,Machine 5,Participant 61,172
2021-09-14 00:00:00,Machine 6,Participant 53,139
2021-11-20 00:00:00,Machine 1,Participant 11,125
2021-10-19 00:00:00,Machine 1,Participant 7,147
2021-08-29 00:00:00,Machine 2,Participant 70,143
2021-11-11 00:00:00,Machine 1,Participant 61,175
2021-08-11 00:00:00,Machine 4,Participant 10,122
2021-09-23 00:00:00,Machine 4,Participant 19,140
2021-11-02 00:00:00,Machine 10,Participant 50,171
2021-08-03 00:00:00,Machine 4,Participant 53,155
2021-10-19 00:00:00,Machine 4,Participant 9,170
2021-11-21 00:00:00,Machine 6,Participant 3,137
2021-09-26 00:00:00,Machine 8,Participant 32,130
2021-08-15 00:00:00,Machine 10,Participant 52,141
2021-08-11 00:00:00,Machine 3,Participant 34,112
2021-08-05 00:00:00,Machine 10,Participant 63,154
2021-08-14 00:00:00,Machine 5,Participant 41,162
2021-09-24 00:00:00,Machine 2,Participant 62,156
2021-10-20 00:00:00,Machine 3,Participant 32,113
2021-10-31 00:00:00,Machine 7,Participant 9,137
2021-10-21 00:00:00,Machine 8,Participant 20,118
2021-11-23 00:00:00,Machine 9,Participant 55,160
2021-09-09 00:00:00,Machine 6,Participant 33,147
2021-08-25 00:00:00,Machine 6,Participant 42,138
2021-10-22 00:00:00,Machine 4,Participant 1,163
2021-08-03 00:00:00,Machine 10,Participant 53,128
2021-09-13 00:00:00,Machine 1,Participant 4,115
2021-11-10 00:00:00,Machine 9,Participant 52,132
2021-09-30 00:00:00,Machine 3,Participant 2,158
2021-09-30 00:00:00,Machine 4,Participant 54,143
2021-10-21 00:00:00,Machine 10,Participant 17,156
2021-09-25 00:00:00,Machine 9,Participant 26,133
2021-09-03 00:00:00,Machine 4,Participant 64,133
2021-10-21 00:00:00,Machine 7,Participant 65,124
2021-08-14 00:00:00,Machine 6,Participant 70,126
2021-10-17 00:00:00,Machine 3,Participant 48,138
2021-10-21 00:00:00,Machine 10,Participant 29,151
2021-10-15 00:00:00,Machine 2,Participant 46,161
2021-09-12 00:00:00,Machine 3,Participant 28,130
2021-09-29 00:00:00,Machine 8,Participant 25,120
2021-08-19 00:00:00,Machine 2,Participant 55,129
2021-09-12 00:00:00,Machine 6,Participant 57,178
2021-08-28 00:00:00,Machine 5,Participant 6,139
2021-10-02 00:00:00,Machine 5,Participant 46,121
2021-11-25 00:00:00,Machine 1,Participant 67,153
2021-11-09 00:00:00,Machine 8,Participant 27,125
2021-11-18 00:00:00,Machine 7,Participant 10,154
2021-11-25 00:00:00,Machine 7,Participant 57,173
2021-09-26 00:00:00,Machine 5,Participant 68,107
2021-09-27 00:00:00,Machine 4,Participant 29,151
2021-08-12 00:00:00,Machine 8,Participant 36,146
2021-09-19 00:00:00,Machine 1,Participant 64,144
2021-09-28 00:00:00,Machine 1,Participant 31,126
2021-08-04 00:00:00,Machine 7,Participant 46,125
2021-08-16 00:00:00,Machine 2,Participant 42,118
2021-09-21 00:00:00,Machine 7,Participant 42,120
2021-08-05 00:00:00,Machine 5,Participant 38,158
2021-08-12 00:00:00,Machine 8,Participant 30,130
2021-11-22 00:00:00,Machine 1,Participant 14,139
2021-09-12 00:00:00,Machine 3,Participant 20,137
2021-09-21 00:00:00,Machine 7,Participant 28,174
2021-08-11 00:00:00,Machine 3,Participant 56,156
2021-09-14 00:00:00,Machine 6,Participant 47,126
2021-08-08 00:00:00,Machine 2,Participant 3,177
2021-08-19 00:00:00,Machine 10,Participant 69,144
2021-11-20 00:00:00,Machine 8,Participant 39,126
2021-09-11 00:00:00,Machine 7,Participant 9,156
2021-08-14 00:00:00,Machine 8,Participant 41,119
2021-08-04 00:00:00,Machine 5,Participant 7,114
2021-08-20 00:00:00,Machine 6,Participant 28,121
2021-11-20 00:00:00,Machine 10,Participant 10,152
2021-09-09 00:00:00,Machine 6,Participant 57,110
2021-09-06 00:00:00,Machine 10,Participant 15,131
2021-10-02 00:00:00,Machine 10,Participant 70,146
2021-09-10 00:00:00,Machine 2,Participant 29,148
2021-09-01 00:00:00,Machine 10,Participant 40,147
2021-08-22 00:00:00,Machine 3,Participant 58,135
2021-09-14 00:00:00,Machine 9,Participant 41,142
2021-10-15 00:00:00,Machine 7,Participant 8,140
2021-08-16 00:00:00,Machine 9,Participant 8,128
2021-08-13 00:00:00,Machine 3,Participant 42,152
2021-11-23 00:00:00,Machine 3,Participant 11,133
2021-08-12 00:00:00,Machine 1,Participant 38,124
2021-10-11 00:00:00,Machine 7,Participant 33,127
2021-10-21 00:00:00,Machine 8,Participant 61,152
2021-11-06 00:00:00,Machine 10,Participant 12,148
2021-09-19 00:00:00,Machine 10,Participant 32,154
2021-09-25 00:00:00,Machine 3,Participant 58,129
2021-11-12 00:00:00,Machine 9,Participant 8,128
2021-09-30 00:00:00,Machine 1,Participant 58,148
2021-11-18 00:00:00,Machine 3,Participant 33,148
2021-08-17 00:00:00,Machine 5,Participant 43,166
2021-10-17 00:00:00,Machine 3,Participant 58,110
2021-11-20 00:00:00,Machine 1,Participant 23,148
2021-09-05 00:00:00,Machine 6,Participant 33,135
2021-10-22 00:00:00,Machine 10,Participant 13,122
2021-09-19 00:00:00,Machine 3,Participant 63,128
2021-11-20 00:00:00,Machine 6,Participant 40,167
2021-11-28 00:00:00,Machine 6,Participant 10,154
2021-11-21 00:00:00,Machine 7,Participant 12,114
2021-10-12 00:00:00,Machine 7,Participant 23,118
2021-08-08 00:00:00,Machine 3,Participant 9,110
2021-11-28 00:00:00,Machine 1,Participant 20,140
2021-10-28 00:00:00,Machine 2,Participant 51,114
2021-10-24 00:00:00,Machine 6,Participant 15,150
2021-10-19 00:00:00,Machine 1,Participant 45,160
2021-10-27 00:00:00,Machine 4,Participant 55,172
2021-08-27 00:00:00,Machine 9,Participant 57,159
2021-10-09 00:00:00,Machine 7,Participant 34,113
2021-09-07 00:00:00,Machine 4,Participant 37,137
2021-11-19 00:00:00,Machine 8,Participant 29,131
2021-10-18 00:00:00,Machine 1,Participant 5,153
2021-11-24 00:00:00,Machine 4,Participant 24,149
2021-08-21 00:00:00,Machine 10,Participant 42,142
2021-10-27 00:00:00,Machine 5,Participant 67,160
2021-11-24 00:00:00,Machine 6,Participant 1,148
2021-10-22 00:00:00,Machine 10,Participant 30,132
2021-10-13 00:00:00,Machine 2,Participant 46,143
2021-11-04 00:00:00,Machine 6,Participant 32,166
2021-09-18 00:00:00,Machine 3,Participant 27,155
2021-09-11 00:00:00,Machine 5,Participant 34,122
2021-08-02 00:00:00,Machine 6,Participant 21,160
2021-08-23 00:00:00,Machine 2,Participant 46,116
2021-11-12 00:00:00,Machine 6,Participant 3,117
2021-08-12 00:00:00,Machine 8,Participant 2,158
2021-08-05 00:00:00,Machine 5,Participant 67,142
2021-09-27 00:00:00,Machine 8,Participant 38,172
2021-11-22 00:00:00,Machine 6,Participant 64,157
2021-09-28 00:00:00,Machine 6,Participant 5,146
2021-10-20 00:00:00,Machine 1,Participant 3,105
2021-10-08 00:00:00,Machine 8,Participant 23,131
2021-11-06 00:00:00,Machine 8,Participant 43,146
2021-10-22 00:00:00,Machine 3,Participant 19,156
2021-09-28 00:00:00,Machine 1,Participant 28,137
2021-09-09 00:00:00,Machine 2,Participant 55,120
2021-11-10 00:00:00,Machine 6,Participant 63,170
2021-10-17 00:00:00,Machine 2,Participant 37,112
2021-11-12 00:00:00,Machine 5,Participant 68,129
2021-08-24 00:00:00,Machine 7,Participant 25,155
2021-10-25 00:00:00,Machine 4,Participant 48,123
2021-11-28 00:00:00,Machine 3,Participant 69,140
2021-09-16 00:00:00,Machine 10,Participant 35,161
2021-11-03 00:00:00,Machine 7,Participant 30,128
2021-10-08 00:00:00,Machine 8,Participant 24,150
2021-10-03 00:00:00,Machine 9,Participant 58,112
2021-10-08 00:00:00,Machine 10,Participant 59,121
2021-08-10 00:00:00,Machine 1,Participant 19,162
2021-08-12 00:00:00,Machine 6,Participant 9,126
2021-10-20 00:00:00,Machine 2,Participant 25,139
2021-11-24 00:00:00,Machine 2,Participant 51,127
2021-10-18 00:00:00,Machine 4,Participant 45,143
2021-11-17 00:00:00,Machine 2,Participant 22,116
2021-11-06 00:00:00,Machine 1,Participant 21,138
2021-10-09 00:00:00,Machine 2,Participant 67,119
2021-09-12 00:00:00,Machine 4,Participant 45,117
2021-09-30 00:00:00,Machine 9,Participant 47,149
2021-10-16 00:00:00,Machine 4,Participant 67,120
2021-09-15 00:00:00,Machine 1,Participant 43,138
2021-10-18 00:00:00,Machine 10,Participant 47,110
2021-11-17 00:00:00,Machine 3,Participant 66,125
2021-11-11 00:00:00,Machine 3,Participant 54,144
2021-11-15 00:00:00,Machine 4,Participant 53,120
2021-11-16 00:00:00,Machine 5,Participant 53,151
2021-10-08 00:00:00,Machine 10,Participant 42,109
2021-10-20 00:00:00,Machine 6,Participant 59,160
2021-11-22 00:00:00,Machine 7,Participant 55,145
2021-09-16 00:00:00,Machine 10,Participant 17,121
2021-10-21 00:00:00,Machine 4,Participant 62,127
2021-09-08 00:00:00,Machine 5,Participant 27,143
2021-09-15 00:00:00,Machine 10,Participant 2,134
2021-10-27 00:00:00,Machine 8,Participant 48,133
2021-09-06 00:00:00,Machine 2,Participant 59,159
2021-08-19 00:00:00,Machine 9,Participant 62,165
2021-08-06 00:00:00,Machine 3,Participant 68,120
2021-10-23 00:00:00,Machine 10,Participant 20,121
2021-10-30 00:00:00,Machine 7,Participant 8,168
2021-09-16 00:00:00,Machine 9,Participant 60,146
2021-11-11 00:00:00,Machine 9,Participant 13,171
2021-11-12 00:00:00,Machine 9,Participant 24,135
2021-09-17 00:00:00,Machine 7,Participant 32,133
2021-08-20 00:00:00,Machine 6,Participant 22,125
2021-11-03 00:00:00,Machine 8,Participant 47,148
2021-09-27 00:00:00,Machine 10,Participant 20,145
2021-09-11 00:00:00,Machine 7,Participant 55,128
2021-09-15 00:00:00,Machine 2,Participant 28,136
2021-10-27 00:00:00,Machine 6,Participant 55,145
2021-09-02 00:00:00,Machine 1,Participant 33,150
2021-11-27 00:00:00,Machine 2,Participant 59,171
2021-09-15 00:00:00,Machine 8,Participant 35,155
2021-10-07 00:00:00,Machine 4,Participant 34,106
2021-09-29 00:00:00,Machine 4,Participant 58,121
2021-09-28 00:00:00,Machine 5,Participant 59,171
2021-11-26 00:00:00,Machine 6,Participant 2,139
2021-08-03 00:00:00,Machine 6,Participant 41,116
2021-09-07 00:00:00,Machine 9,Participant 40,128
2021-09-30 00:00:00,Machine 3,Participant 31,144
2021-10-25 00:00:00,Machine 4,Participant 43,155
2021-10-02 00:00:00,Machine 1,Participant 46,142
2021-08-27 00:00:00,Machine 3,Participant 44,114
2021-09-23 00:00:00,Machine 10,Participant 43,138
2021-08-10 00:00:00,Machine 6,Participant 42,127
2021-08-02 00:00:00,Machine 7,Participant 33,127
2021-10-16 00:00:00,Machine 5,Participant 9,130
2021-09-17 00:00:00,Machine 5,Participant 8,166
2021-11-30 00:00:00,Machine 6,Participant 58,140
2021-11-22 00:00:00,Machine 1,Participant 37,132
2021-10-14 00:00:00,Machine 6,Participant 28,139
2021-09-10 00:00:00,Machine 2,Participant 18,144
2021-09-26 00:00:00,Machine 5,Participant 8,165
2021-11-28 00:00:00,Machine 7,Participant 57,170
2021-09-25 00:00:00,Machine 1,Participant 52,158
2021-09-18 00:00:00,Machine 10,Participant 56,128
2021-08-10 00:00:00,Machine 8,Participant 32,176
2021-11-29 00:00:00,Machine 8,Participant 45,117
2021-09-28 00:00:00,Machine 10,Participant 27,160
2021-09-29 00:00:00,Machine 3,Participant 43,146
2021-11-10 00:00:00,Machine 2,Participant 6,178
2021-08-13 00:00:00,Machine 7,Participant 13,176
2021-10-23 00:00:00,Machine 9,Participant 39,168
2021-08-06 00:00:00,Machine 4,Participant 17,172
2021-10-15 00:00:00,Machine 6,Participant 63,128
2021-10-04 00:00:00,Machine 10,Participant 52,126
2021-08-16 00:00:00,Machine 10,Participant 7,165
2021-10-10 00:00:00,Machine 3,Participant 44,170
2021-10-14 00:00:00,Machine 6,Participant 3,127
2021-09-06 00:00:00,Machine 4,Participant 64,142
2021-10-20 00:00:00,Machine 6,Participant 23,128
2021-09-03 00:00:00,Machine 4,Participant 39,147
2021-08-10 00:00:00,Machine 7,Participant 15,120
2021-08-08 00:00:00,Machine 1,Participant 37,155
2021-11-24 00:00:00,Machine 4,Participant 25,168
2021-10-24 00:00:00,Machine 4,Participant 34,153
2021-11-19 00:00:00,Machine 4,Participant 30,156
2021-08-27 00:00:00,Machine 9,Participant 24,138
2021-10-25 00:00:00,Machine 1,Participant 40,137
2021-08-23 00:00:00,Machine 9,Participant 64,110
2021-10-01 00:00:00,Machine 5,Participant 39,149
2021-09-13 00:00:00,Machine 5,Participant 33,166
2021-11-09 00:00:00,Machine 7,Participant 57,119
2021-08-14 00:00:00,Machine 1,Participant 4,137
2021-10-31 00:00:00,Machine 8,Participant 41,114
2021-08-15 00:00:00,Machine 3,Participant 5,159
2021-11-28 00:00:00,Machine 6,Participant 43,139
2021-09-19 00:00:00,Machine 4,Participant 15,118
2021-08-07 00:00:00,Machine 3,Participant 49,124
2021-09-02 00:00:00,Machine 2,Participant 69,160
2021-08-30 00:00:00,Machine 3,Participant 55,148
2021-08-15 00:00:00,Machine 1,Participant 19,158
2021-11-04 00:00:00,Machine 8,Participant 21,147
2021-08-30 00:00:00,Machine 6,Participant 38,149
2021-08-06 00:00:00,Machine 2,Participant 28,171
2021-08-27 00:00:00,Machine 3,Participant 14,161
2021-10-04 00:00:00,Machine 2,Participant 19,123
2021-09-30 00:00:00,Machine 6,Participant 67,146
2021-11-19 00:00:00,Machine 3,Participant 41,154
2021-09-12 00:00:00,Machine 10,Participant 17,137
2021-10-25 00:00:00,Machine 5,Participant 53,164
2021-08-10 00:00:00,Machine 3,Participant 10,142
2021-10-05 00:00:00,Machine 1,Participant 26,130
2021-09-16 00:00:00,Machine 1,Participant 47,169
2021-08-01 00:00:00,Machine 3,Participant 4,130
2021-09-10 00:00:00,Machine 5,Participant 1,115
2021-11-30 00:00:00,Machine 10,Participant 11,158
2021-09-06 00:00:00,Machine 5,Participant 42,142
2021-11-20 00:00:00,Machine 9,Participant 61,127
2021-11-26 00:00:00,Machine 9,Participant 36,159
2021-09-12 00:00:00,Machine 5,Participant 37,129
2021-11-09 00:00:00,Machine 4,Participant 9,145
2021-11-19 00:00:00,Machine 4,Participant 10,123
2021-09-18 00:00:00,Machine 6,Participant 69,114
2021-10-22 00:00:00,Machine 4,Participant 62,141
2021-10-07 00:00:00,Machine 10,Participant 62,128
2021-11-17 00:00:00,Machine 8,Participant 37,163
2021-11-15 00:00:00,Machine 4,Participant 23,173
2021-08-23 00:00:00,Machine 5,Participant 16,157
2021-08-03 00:00:00,Machine 10,Participant 48,129
2021-11-11 00:00:00,Machine 9,Participant 44,154
2021-10-21 00:00:00,Machine 10,Participant 27,148
2021-10-30 00:00:00,Machine 9,Participant 60,119
2021-11-25 00:00:00,Machine 8,Participant 19,161
2021-08-08 00:00:00,Machine 8,Participant 17,162
2021-11-15 00:00:00,Machine 4,Participant 63,170
2021-10-03 00:00:00,Machine 1,Participant 8,146
2021-09-29 00:00:00,Machine 8,Participant 41,129
2021-08-15 00:00:00,Machine 2,Participant 70,140
2021-11-06 00:00:00,Machine 9,Participant 63,133
2021-09-21 00:00:00,Machine 10,Participant 15,148
2021-10-10 00:00:00,Machine 5,Participant 59,169
2021-11-13 00:00:00,Machine 7,Participant 4,176
2021-09-07 00:00:00,Machine 5,Participant 66,160
2021-10-07 00:00:00,Machine 6,Participant 49,119
2021-10-25 00:00:00,Machine 7,Participant 42,140
2021-10-31 00:00:00,Machine 8,Participant 11,161
2021-09-07 00:00:00,Machine 2,Participant 38,173
2021-08-15 00:00:00,Machine 4,Participant 6,116
2021-11-14 00:00:00,Machine 6,Participant 69,113
2021-10-04 00:00:00,Machine 9,Participant 29,149
2021-10-23 00:00:00,Machine 3,Participant 48,108
2021-08-29 00:00:00,Machine 8,Participant 47,122
2021-09-23 00:00:00,Machine 10,Participant 22,142
2021-10-14 00:00:00,Machine 5,Participant 59,146
2021-11-08 00:00:00,Machine 9,Participant 37,122
2021-09-02 00:00:00,Machine 8,Participant 28,138
2021-08-23 00:00:00,Machine 5,Participant 9,151
2021-10-31 00:00:00,Machine 5,Participant 2,150
2021-08-03 00:00:00,Machine 8,Participant 43,145
2021-10-25 00:00:00,Machine 9,Participant 27,134
2021-08-07 00:00:00,Machine 10,Participant 47,140
2021-08-08 00:00:00,Machine 8,Participant 43,125
2021-09-05 00:00:00,Machine 10,Participant 57,111
2021-09-25 00:00:00,Machine 6,Participant 13,165
2021-08-25 00:00:00,Machine 9,Participant 8,132
2021-08-31 00:00:00,Machine 9,Participant 40,132
2021-09-23 00:00:00,Machine 10,Participant 26,137
2021-09-05 00:00:00,Machine 6,Participant 63,142
2021-11-07 00:00:00,Machine 10,Participant 68,111
2021-09-29 00:00:00,Machine 6,Participant 53,128
2021-08-26 00:00:00,Machine 9,Participant 12,170
2021-10-02 00:00:00,Machine 2,Participant 6,131
2021-09-16 00:00:00,Machine 10,Participant 53,122
2021-10-25 00:00:00,Machine 8,Participant 53,127
2021-08-30 00:00:00,Machine 5,Participant 29,126
2021-11-29 00:00:00,Machine 3,Participant 30,157
2021-11-27 00:00:00,Machine 4,Participant 62,117
2021-09-24 00:00:00,Machine 8,Participant 4,149
2021-08-21 00:00:00,Machine 3,Participant 27,134
2021-10-16 00:00:00,Machine 7,Participant 36,140
2021-09-20 00:00:00,Machine 6,Participant 6,121
2021-08-03 00:00:00,Machine 6,Participant 20,113
2021-09-11 00:00:00,Machine 10,Participant 57,153
2021-08-14 00:00:00,Machine 6,Participant 70,161
2021-09-18 00:00:00,Machine 4,Participant 62,118
2021-09-12 00:00:00,Machine 8,Participant 45,144
2021-10-21 00:00:00,Machine 5,Participant 26,145
2021-08-22 00:00:00,Machine 6,Participant 16,129
2021-09-06 00:00:00,Machine 4,Participant 29,174
2021-08-23 00:00:00,Machine 7,Participant 61,163
2021-08-30 00:00:00,Machine 10,Participant 10,147
2021-10-27 00:00:00,Machine 4,Participant 48,167
2021-10-13 00:00:00,Machine 9,Participant 45,136
2021-11-28 00:00:00,Machine 7,Participant 20,125
2021-08-25 00:00:00,Machine 7,Participant 32,141
2021-10-06 00:00:00,Machine 7,Participant 44,148
2021-10-27 00:00:00,Machine 1,Participant 10,158
2021-10-20 00:00:00,Machine 8,Participant 43,119
2021-09-28 00:00:00,Machine 7,Participant 34,158
2021-08-24 00:00:00,Machine 2,Participant 36,117
2021-10-04 00:00:00,Machine 9,Participant 47,129
2021-08-06 00:00:00,Machine 6,Participant 12,123
2021-10-15 00:00:00,Machine 9,Participant 56,130
2021-10-14 00:00:00,Machine 7,Participant 18,146
2021-11-27 00:00:00,Machine 5,Participant 40,125
2021-11-21 00:00:00,Machine 6,Participant 23,147
2021-08-12 00:00:00,Machine 8,Participant 14,148
2021-08-28 00:00:00,Machine 7,Participant 8,124
2021-10-22 00:00:00,Machine 6,Participant 19,142
2021-09-02 00:00:00,Machine 10,Participant 41,167
2021-11-15 00:00:00,Machine 7,Participant 15,153
2021-09-02 00:00:00,Machine 9,Participant 61,125
2021-11-04 00:00:00,Machine 9,Participant 50,118
2021-10-24 00:00:00,Machine 8,Participant 65,112
2021-09-02 00:00:00,Machine 1,Participant 26,130
2021-09-05 00:00:00,Machine 10,Participant 6,128
2021-09-24 00:00:00,Machine 10,Participant 27,129
2021-10-19 00:00:00,Machine 8,Participant 25,122
2021-09-26 00:00:00,Machine 9,Participant 33,142
2021-08-09 00:00:00,Machine 7,Participant 43,128
2021-10-16 00:00:00,Machine 7,Participant 36,139
2021-08-23 00:00:00,Machine 9,Participant 36,157
2021-09-16 00:00:00,Machine 4,Participant 48,158
2021-09-25 00:00:00,Machine 8,Participant 10,125
2021-09-19 00:00:00,Machine 3,Participant 56,154
2021-11-08 00:00:00,Machine 1,Participant 5,128
2021-10-25 00:00:00,Machine 7,Participant 27,107
2021-10-04 00:00:00,Machine 5,Participant 14,168
2021-10-02 00:00:00,Machine 4,Participant 28,146
2021-09-16 00:00:00,Machine 4,Participant 12,133
2021-09-01 00:00:00,Machine 7,Participant 15,156
2021-10-07 00:00:00,Machine 5,Participant 18,159
2021-09-11 00:00:00,Machine 3,Participant 13,134
2021-08-14 00:00:00,Machine 6,Participant 21,138
2021-09-17 00:00:00,Machine 7,Participant 61,177
2021-11-11 00:00:00,Machine 3,Participant 55,136
2021-08-10 00:00:00,Machine 7,Participant 46,136
2021-09-11 00:00:00,Machine 8,Participant 59,152
2021-08-10 00:00:00,Machine 2,Participant 58,121
2021-08-27 00:00:00,Machine 8,Participant 47,134
2021-09-23 00:00:00,Machine 4,Participant 54,124
2021-09-23 00:00:00,Machine 8,Participant 37,135
2021-09-14 00:00:00,Machine 8,Participant 37,141
2021-10-11 00:00:00,Machine 1,Participant 4,153
2021-09-25 00:00:00,Machine 7,Participant 55,135
2021-08-23 00:00:00,Machine 6,Participant 37,159
2021-10-17 00:00:00,Machine 7,Participant 28,123
2021-08-10 00:00:00,Machine 6,Participant 67,162
2021-08-14 00:00:00,Machine 10,Participant 42,121
2021-08-13 00:00:00,Machine 3,Participant 40,147
2021-11-08 00:00:00,Machine 2,Participant 62,123
2021-10-16 00:00:00,Machine 4,Participant 14,144
2021-08-08 00:00:00,Machine 2,Participant 48,118
2021-09-11 00:00:00,Machine 6,Participant 27,132
2021-08-03 00:00:00,Machine 3,Participant 24,130
2021-11-23 00:00:00,Machine 5,Participant 66,165
2021-08-05 00:00:00,Machine 7,Participant 44,152
2021-08-14 00:00:00,Machine 8,Participant 35,162
2021-10-29 00:00:00,Machine 2,Participant 7,154
2021-10-12 00:00:00,Machine 1,Participant 6,120
2021-08-31 00:00:00,Machine 7,Participant 20,156
2021-08-24 00:00:00,Machine 2,Participant 41,153
2021-11-27 00:00:00,Machine 4,Participant 51,136
2021-11-17 00:00:00,Machine 5,Participant 50,137
2021-09-27 00:00:00,Machine 6,Participant 11,165
2021-09-23 00:00:00,Machine 2,Participant 39,141
2021-11-16 00:00:00,Machine 6,Participant 5,142
2021-09-15 00:00:00,Machine 8,Participant 4,132
2021-08-23 00:00:00,Machine 6,Participant 70,143
2021-11-10 00:00:00,Machine 10,Participant 57,168
2021-11-25 00:00:00,Machine 10,Participant 11,125
2021-09-01 00:00:00,Machine 5,Participant 25,161
2021-11-15 00:00:00,Machine 3,Participant 3,148
2021-11-02 00:00:00,Machine 6,Participant 30,134
2021-08-18 00:00:00,Machine 2,Participant 68,143
2021-10-08 00:00:00,Machine 10,Participant 3,137
2021-09-09 00:00:00,Machine 8,Participant 6,120
2021-09-03 00:00:00,Machine 2,Participant 19,148
2021-09-10 00:00:00,Machine 9,Participant 32,141
2021-09-11 00:00:00,Machine 10,Participant 14,172
2021-08-16 00:00:00,Machine 9,Participant 52,142
2021-08-29 00:00:00,Machine 7,Participant 7,129
2021-11-30 00:00:00,Machine 10,Participant 13,113
2021-08-17 00:00:00,Machine 2,Participant 24,125
2021-09-07 00:00:00,Machine 1,Participant 24,157
2021-09-10 00:00:00,Machine 2,Participant 9,118
2021-10-09 00:00:00,Machine 7,Participant 13,114
2021-08-12 00:00:00,Machine 1,Participant 21,117
2021-09-19 00:00:00,Machine 4,Participant 67,119
2021-11-19 00:00:00,Machine 3,Participant 13,115
2021-10-23 00:00:00,Machine 2,Participant 61,131
2021-09-09 00:00:00,Machine 9,Participant 28,154
2021-11-20 00:00:00,Machine 5,Participant 65,145
2021-09-25 00:00:00,Machine 9,Participant 42,125
2021-09-24 00:00:00,Machine 5,Participant 11,127
2021-08-24 00:00:00,Machine 6,Participant 64,122
2021-08-15 00:00:00,Machine 3,Participant 14,126
2021-09-29 00:00:00,Machine 5,Participant 30,140
2021-09-09 00:00:00,Machine 9,Participant 32,138
2021-08-23 00:00:00,Machine 7,Participant 2,149
2021-09-04 00:00:00,Machine 4,Participant 25,157
2021-10-27 00:00:00,Machine 4,Participant 67,126
2021-09-14 00:00:00,Machine 1,Participant 34,171
2021-09-30 00:00:00,Machine 6,Participant 11,143
2021-09-26 00:00:00,Machine 6,Participant 35,139
2021-08-10 00:00:00,Machine 4,Participant 10,140
2021-08-20 00:00:00,Machine 5,Participant 5,111
2021-09-05 00:00:00,Machine 6,Participant 5,145
2021-11-09 00:00:00,Machine 6,Participant 10,169
2021-08-26 00:00:00,Machine 9,Participant 50,125
2021-09-23 00:00:00,Machine 6,Participant 19,115
2021-10-03 00:00:00,Machine 2,Participant 62,155
2021-08-04 00:00:00,Machine 7,Participant 26,163
2021-11-14 00:00:00,Machine 9,Participant 22,138
2021-09-28 00:00:00,Machine 6,Participant 39,135
