Inventory 1,,,,,,,,Inventory 2,,,,,,,,Inventory 3,,,,,,,,,,,,,,
Item,Description,Unit,Cost,,,,,Description,Item,Unit,Cost,,,,,Item,450701238,450818976,450818977,450800832,450801110,450800175,424582395,424570573,450812520,424504541,424572731,424560033,424562533,450802490
424593692,SOPAPA ACERO DE LAVATORIO 40 MM,PZ,34.15,,,,,SOPAPA ACERO DE LAVATORIO 40 MM,424593692,PZ,34.15,,,,,,,,,,,,,,,,,,,
450804917,MECHA EZETA COLA CONICA  5.00 MM,PZ,34.18,,,,,MECHA EZETA COLA CONICA  5.00 MM,450804917,PZ,34.18,,,,,,,,,,,,,,,,,,,
450801243,CEPILLO ACERO CIRCULAR  5x1,PZ,34.32,,,,,CEPILLO ACERO CIRCULAR  5x1,450801243,PZ,34.32,,,,,,,,,,,,,,,,,,,
450814177,LIJA AA FENOB G. 50   150 x 45000,PZ,34.42,,,,,LIJA AA FENOB G. 50   150 x 45000,450814177,PZ,34.42,,,,,,,,,,,,,,,,,,,
424595646,TENAZA GHERARDI CARP N. 9  233 MM,PZ,34.45,,,,,TENAZA GHERARDI CARP N. 9  233 MM,424595646,PZ,34.45,,,,,,,,,,,,,,,,,,,
424595647,TENAZA GHERARDI CARP N.10  251 MM,PZ,34.45,,,,,TENAZA GHERARDI CARP N.10  251 MM,424595647,PZ,34.45,,,,,,,,,,,,,,,,,,,
424595648,BANDA AA TELA  75x508 O/A MAD G. 60,PZ,34.45,,,,,BANDA AA TELA  75x508 O/A MAD G. 60,424595648,PZ,34.45,,,,,,,,,,,,,,,,,,,
450804395,CLAVO C/CHATA 15-50,PZ,34.82,,,,,CLAVO C/CHATA 15-50,450804395,PZ,34.82,,,,,,,,,,,,,,,,,,,
450814191,MECHA EZETA COLA CONICA 24.00 MM,PZ,34.94,,,,,MECHA EZETA COLA CONICA 24.00 MM,450814191,PZ,34.94,,,,,,,,,,,,,,,,,,,
450813406,CABLE ACERO 16.0 MM 6 x 19+1,PZ,34.96,,,,,CABLE ACERO 16.0 MM 6 x 19+1,450813406,PZ,34.96,,,,,,,,,,,,,,,,,,,
424594301,MACHO TAP A/LAMINADO NF    8  x 36,PZ,35,,,,,MACHO TAP A/LAMINADO NF    8  x 36,424594301,PZ,35,,,,,,,,,,,,,,,,,,,
413062683,MACHO URANGA A/RAPIDO NF    12 x 28,PZ,35.09,,,,,MACHO URANGA A/RAPIDO NF    12 x 28,413062683,PZ,35.09,,,,,,,,,,,,,,,,,,,
450812502,CORREA SECCION A N.59,MT,35.36,,,,,CORREA SECCION A N.59,450812502,MT,35.36,,,,,,,,,,,,,,,,,,,
450802214,CABO P/GUADAÃ‘A COMPLETO,PZ,35.52,,,,,CABO P/GUADAÃ‘A COMPLETO,450802214,PZ,35.52,,,,,,,,,,,,,,,,,,,
424590120,ARCO SIERRA CARNICERO C/HOJA 620 MM,PQ,35.56,,,,,ARCO SIERRA CARNICERO C/HOJA 620 MM,424590120,PQ,35.56,,,,,,,,,,,,,,,,,,,
450805370,GRIFERIA VENUS COCINA MESADA BLANCO,PZ,35.8,,,,,GRIFERIA VENUS COCINA MESADA BLANCO,450805370,PZ,35.8,,,,,,,,,,,,,,,,,,,
424595670,FLEX DUKE PLAST CONEX MET 1/2 x 20,PZ,35.86,,,,,FLEX DUKE PLAST CONEX MET 1/2 x 20,424595670,PZ,35.86,,,,,,,,,,,,,,,,,,,
424595671,FLEX DUKE EXTENSIBLE 50 x 40-50 MM,PZ,35.86,,,,,FLEX DUKE EXTENSIBLE 50 x 40-50 MM,424595671,PZ,35.86,,,,,,,,,,,,,,,,,,,
424595672,BANDA AA TELA  50x478 O/A MET G.100,PZ,35.86,,,,,BANDA AA TELA  50x478 O/A MET G.100,424595672,PZ,35.86,,,,,,,,,,,,,,,,,,,
413062440,PITON P/MAD SOLDADO  25 - 110 x 25,PZ,35.89,,,,,PITON P/MAD SOLDADO  25 - 110 x 25,413062440,PZ,35.89,,,,,,,,,,,,,,,,,,,
450802228,CALENTADOR P/GAS GRANDE ENLOZADO,PZ,35.9,,,,,CALENTADOR P/GAS GRANDE ENLOZADO,450802228,PZ,35.9,,,,,,,,,,,,,,,,,,,
464502644,MACHO TAP A/LAMINADO NF  3/16 x 32,PZ,35.9,,,,,MACHO TAP A/LAMINADO NF  3/16 x 32,464502644,PZ,35.9,,,,,,,,,,,,,,,,,,,
424589523,MECHA EZETA CILINDRICA A/R 18.25 MM,PZ,36.23,,,,,MECHA EZETA CILINDRICA A/R 18.25 MM,424589523,PZ,36.23,,,,,,,,,,,,,,,,,,,
450817080,BANDA AA TELA  75x610 O/A MAD G. 36,PZ,36.23,,,,,BANDA AA TELA  75x610 O/A MAD G. 36,450817080,PZ,36.23,,,,,,,,,,,,,,,,,,,
450804850,MECHA EZETA COLA CONICA 30.75 MM,PZ,36.31,,,,,MECHA EZETA COLA CONICA 30.75 MM,450804850,PZ,36.31,,,,,,,,,,,,,,,,,,,
424591730,CLAVO ACERO GALV 3.0 - 60 x 100,PZ,36.4,,,,,CLAVO ACERO GALV 3.0 - 60 x 100,424591730,PZ,36.4,,,,,,,,,,,,,,,,,,,
424595611,ACOPLE DUKE COMPRESION PROF 3/4,PZ,36.54,,,,,ACOPLE DUKE COMPRESION PROF 3/4,424595611,PZ,36.54,,,,,,,,,,,,,,,,,,,
450811659,MECHA EZETA COLA CONICA 38.00 MM,PZ,36.67,,,,,MECHA EZETA COLA CONICA 38.00 MM,450811659,PZ,36.67,,,,,,,,,,,,,,,,,,,
450810555,GUANTE LATEX P/CORTO  9 1/2,PZ,36.9,,,,,GUANTE LATEX P/CORTO  9 1/2,450810555,PZ,36.9,,,,,,,,,,,,,,,,,,,
424583418,GANCHO P/CAÃ‘O ESTRUCT 40 x 100,CJ,36.92,,,,,GANCHO P/CAÃ‘O ESTRUCT 40 x 100,424583418,CJ,36.92,,,,,,,,,,,,,,,,,,,
424573123,PITON HO PUL ESCUAD  16 -  30 x 200,PZ,37,,,,,PITON HO PUL ESCUAD  16 -  30 x 200,424573123,PZ,37,,,,,,,,,,,,,,,,,,,
450300349,TABLA PLANCHAR ESPECIAL S/PARRILLA,PZ,37.01,,,,,TABLA PLANCHAR ESPECIAL S/PARRILLA,450300349,PZ,37.01,,,,,,,,,,,,,,,,,,,
450802323,MECHA EZETA COLA CONICA 14.75 MM,PZ,37.18,,,,,MECHA EZETA COLA CONICA 14.75 MM,450802323,PZ,37.18,,,,,,,,,,,,,,,,,,,
424561014,GANCHO P/CAÃ‘O ESTRUCT 50 x 100,PZ,37.37,,,,,GANCHO P/CAÃ‘O ESTRUCT 50 x 100,424561014,PZ,37.37,,,,,,,,,,,,,,,,,,,
424580252,CORREA SECCION A N.53,PZ,37.37,,,,,CORREA SECCION A N.53,424580252,PZ,37.37,,,,,,,,,,,,,,,,,,,
424574184,COLLAR SUELA N.12 LISO - 29 CM,PZ,37.44,,,,,COLLAR SUELA N.12 LISO - 29 CM,424574184,PZ,37.44,,,,,,,,,,,,,,,,,,,
424594300,MACHO TAP A/LAMINADO NC  1/2 x 13,PZ,37.44,,,,,MACHO TAP A/LAMINADO NC  1/2 x 13,424594300,PZ,37.44,,,,,,,,,,,,,,,,,,,
450814125,MECHA EZETA COLA CONICA 18.00 MM,KG,37.44,,,,,MECHA EZETA COLA CONICA 18.00 MM,450814125,KG,37.44,,,,,,,,,,,,,,,,,,,
450811787,MECHA EZETA COLA CONICA 36.50 MM,KG,37.7,,,,,MECHA EZETA COLA CONICA 36.50 MM,450811787,KG,37.7,,,,,,,,,,,,,,,,,,,
413063888,PICO GHERARDI PUNTA-HACHA,PZ,37.76,,,,,PICO GHERARDI PUNTA-HACHA,413063888,PZ,37.76,,,,,,,,,,,,,,,,,,,
450819592,MECHA EZETA COLA CONICA 25.25 MM,PZ,38.02,,,,,MECHA EZETA COLA CONICA 25.25 MM,450819592,PZ,38.02,,,,,,,,,,,,,,,,,,,
424560214,CORTINA P/BAÃ‘O COMPLETA AZUL,PZ,38.17,,,,,CORTINA P/BAÃ‘O COMPLETA AZUL,424560214,PZ,38.17,,,,,,,,,,,,,,,,,,,
450905872,CLAVO ESPIRALADO 1      x 20 KG,PQ,38.42,,,,,CLAVO ESPIRALADO 1      x 20 KG,450905872,PQ,38.42,,,,,,,,,,,,,,,,,,,
424582025,MECHA EZETA MULTIMATERIAL 12 MM,PQ,38.48,,,,,MECHA EZETA MULTIMATERIAL 12 MM,424582025,PQ,38.48,,,,,,,,,,,,,,,,,,,
450813095,TENSOR ACERO GALV IMP  5/16,PZ,38.48,,,,,TENSOR ACERO GALV IMP  5/16,450813095,PZ,38.48,,,,,,,,,,,,,,,,,,,
450802324,CORREA SECCION O N.20,PZ,38.58,,,,,CORREA SECCION O N.20,450802324,PZ,38.58,,,,,,,,,,,,,,,,,,,
450800894,ABRAZ AMERICANA 3002    25 -  35 MM,PZ,38.6,,,,,ABRAZ AMERICANA 3002    25 -  35 MM,450800894,PZ,38.6,,,,,,,,,,,,,,,,,,,
450814893,MACHO URANGA A/RAPIDO M 14 x 1.00,PZ,38.69,,,,,MACHO URANGA A/RAPIDO M 14 x 1.00,450814893,PZ,38.69,,,,,,,,,,,,,,,,,,,
450813665,MECHA EZETA COLA CONICA 40.75 MM,PZ,38.93,,,,,MECHA EZETA COLA CONICA 40.75 MM,450813665,PZ,38.93,,,,,,,,,,,,,,,,,,,
450813725,TENDEDERO RODANTE GRANDE,CJ,39.45,,,,,TENDEDERO RODANTE GRANDE,450813725,CJ,39.45,,,,,,,,,,,,,,,,,,,
450812451,MECHA EZETA COLA CONICA 42.25 MM,PZ,39.52,,,,,MECHA EZETA COLA CONICA 42.25 MM,450812451,PZ,39.52,,,,,,,,,,,,,,,,,,,
450812741,RIEGO SOPORTE DE MANGUERA,PZ,39.62,,,,,RIEGO SOPORTE DE MANGUERA,450812741,PZ,39.62,,,,,,,,,,,,,,,,,,,
424561789,TEJIDO P/CERDO  7Hx0.65x15x12,PZ,39.86,,,,,TEJIDO P/CERDO  7Hx0.65x15x12,424561789,PZ,39.86,,,,,,,,,,,,,,,,,,,
424593699,TOR P/MECHA WIN 10 - 16 x 1 5/8,PZ,40.02,,,,,TOR P/MECHA WIN 10 - 16 x 1 5/8,424593699,PZ,40.02,,,,,,,,,,,,,,,,,,,
424593700,TOR P/MECHA WIN 12 - 14 x 2,PZ,40.02,,,,,TOR P/MECHA WIN 12 - 14 x 2,424593700,PZ,40.02,,,,,,,,,,,,,,,,,,,
424593701,TOR P/MECHA WIN 12 - 14 x 2 1/2,PZ,40.02,,,,,TOR P/MECHA WIN 12 - 14 x 2 1/2,424593701,PZ,40.02,,,,,,,,,,,,,,,,,,,
424593702,FLEX SIFOLIMP PVC REG 1/2 x 20 CM,PZ,40.02,,,,,FLEX SIFOLIMP PVC REG 1/2 x 20 CM,424593702,PZ,40.02,,,,,,,,,,,,,,,,,,,
450814190,MECHA EZETA COLA CONICA 29.00 MM,PZ,40.04,,,,,MECHA EZETA COLA CONICA 29.00 MM,450814190,PZ,40.04,,,,,,,,,,,,,,,,,,,
450805749,MECHA EZETA COLA CONICA 13.25 MM,PZ,40.56,,,,,MECHA EZETA COLA CONICA 13.25 MM,450805749,PZ,40.56,,,,,,,,,,,,,,,,,,,
450814624,ABRAZ AMERICANA 3009    90 - 105 MM,PZ,40.58,,,,,ABRAZ AMERICANA 3009    90 - 105 MM,450814624,PZ,40.58,,,,,,,,,,,,,,,,,,,
450804117,PICO GHERARDI PTA-PALA  62 MM C/CAB,PZ,41.01,,,,,PICO GHERARDI PTA-PALA  62 MM C/CAB,450804117,PZ,41.01,,,,,,,,,,,,,,,,,,,
450813072,MECHA EZETA COLA CONICA 40.00 MM,PZ,41.15,,,,,MECHA EZETA COLA CONICA 40.00 MM,450813072,PZ,41.15,,,,,,,,,,,,,,,,,,,
424582141,MECHA EZETA WIDIA BOSCH  8 x 160 MM,PZ,41.31,,,,,MECHA EZETA WIDIA BOSCH  8 x 160 MM,424582141,PZ,41.31,,,,,,,,,,,,,,,,,,,
450801690,CEPILLO ALAMBRE ACERO  RECTANG 6x19,PZ,41.59,,,,,CEPILLO ALAMBRE ACERO  RECTANG 6x19,450801690,PZ,41.59,,,,,,,,,,,,,,,,,,,
424580478,CARCIMA 1023 SACAYUYO MANUAL,PZ,41.6,,,,,CARCIMA 1023 SACAYUYO MANUAL,424580478,PZ,41.6,,,,,,,,,,,,,,,,,,,
450813666,CORREA SECCION A N.47,PZ,41.68,,,,,CORREA SECCION A N.47,450813666,PZ,41.68,,,,,,,,,,,,,,,,,,,
450811658,ABRAZ AMERICANA 3011   110 - 125 MM,PZ,41.86,,,,,ABRAZ AMERICANA 3011   110 - 125 MM,450811658,PZ,41.86,,,,,,,,,,,,,,,,,,,
413051297,CINTA PELIGRO 8 CM x 200 MT,PZ,42.04,,,,,CINTA PELIGRO 8 CM x 200 MT,413051297,PZ,42.04,,,,,,,,,,,,,,,,,,,
450802700,PITON HO PUL ESCUAD  21 -  70 x 100,PZ,42.17,,,,,PITON HO PUL ESCUAD  21 -  70 x 100,450802700,PZ,42.17,,,,,,,,,,,,,,,,,,,
424595596,LIJA AA GOLD 24K  G.360,PZ,42.29,,,,,LIJA AA GOLD 24K  G.360,424595596,PZ,42.29,,,,,,,,,,,,,,,,,,,
450801120,MECHA EZETA COLA CONICA 15.75 MM,PZ,42.37,,,,,MECHA EZETA COLA CONICA 15.75 MM,450801120,PZ,42.37,,,,,,,,,,,,,,,,,,,
450906030,MECHA EZETA CILINDRICA A/R  0.80 MM,PZ,42.5,,,,,MECHA EZETA CILINDRICA A/R  0.80 MM,450906030,PZ,42.5,,,,,,,,,,,,,,,,,,,
450814306,CADENA MAGER TORCIDO CORTO N. 25,PZ,42.64,,,,,CADENA MAGER TORCIDO CORTO N. 25,450814306,PZ,42.64,,,,,,,,,,,,,,,,,,,
424593684,MACHO URANGA A/RAPIDO NF  7/16 x 20,PZ,42.92,,,,,MACHO URANGA A/RAPIDO NF  7/16 x 20,424593684,PZ,42.92,,,,,,,,,,,,,,,,,,,
450814176,CORREA SECCION O N.23,PZ,43.18,,,,,CORREA SECCION O N.23,450814176,PZ,43.18,,,,,,,,,,,,,,,,,,,
424574018,BIS T/MUNICION C/AGUJ CINC 100x75,PZ,43.24,,,,,BIS T/MUNICION C/AGUJ CINC 100x75,424574018,PZ,43.24,,,,,,,,,,,,,,,,,,,
424593635,PITON S/TOPE ESCUAD  P/TACO  8 x 50,PZ,43.41,,,,,PITON S/TOPE ESCUAD  P/TACO  8 x 50,424593635,PZ,43.41,,,,,,,,,,,,,,,,,,,
424594298,MACHO URANGA A/ALEADO BSP 1    x 11,PZ,43.41,,,,,MACHO URANGA A/ALEADO BSP 1    x 11,424594298,PZ,43.41,,,,,,,,,,,,,,,,,,,
424594299,MACHO URANGA A/ALEADO BSP  7/8 x 14,PZ,43.41,,,,,MACHO URANGA A/ALEADO BSP  7/8 x 14,424594299,PZ,43.41,,,,,,,,,,,,,,,,,,,
450812671,MECHA EZETA COLA CONICA 38.75 MM,KG,43.68,,,,,MECHA EZETA COLA CONICA 38.75 MM,450812671,KG,43.68,,,,,,,,,,,,,,,,,,,
450804616,SELLADOR S-28 SILIC NEGRO  300 GR,PZ,43.7,,,,,SELLADOR S-28 SILIC NEGRO  300 GR,450804616,PZ,43.7,,,,,,,,,,,,,,,,,,,
450802145,DISCO AA GOLD    6 PERF 154  G.280,PZ,43.89,,,,,DISCO AA GOLD    6 PERF 154  G.280,450802145,PZ,43.89,,,,,,,,,,,,,,,,,,,
450802271,REGULADOR PAZ P/GARR S/MANGUERA,PZ,44.02,,,,,REGULADOR PAZ P/GARR S/MANGUERA,450802271,PZ,44.02,,,,,,,,,,,,,,,,,,,
451305369,LIMPIAMANOS ALLEMANDI POLVO   x15KG,PZ,44.08,,,,,LIMPIAMANOS ALLEMANDI POLVO   x15KG,451305369,PZ,44.08,,,,,,,,,,,,,,,,,,,
424593683,MACHO URANGA A/RAPIDO NF  3/8  x 24,PZ,44.26,,,,,MACHO URANGA A/RAPIDO NF  3/8  x 24,424593683,PZ,44.26,,,,,,,,,,,,,,,,,,,
450813910,CLAVO P/PARIS FRACC  3,PZ,44.26,,,,,CLAVO P/PARIS FRACC  3,450813910,PZ,44.26,,,,,,,,,,,,,,,,,,,
450804118,CLAVO ACERO ESC GALV 4.0 - 70 x 50,PZ,44.39,,,,,CLAVO ACERO ESC GALV 4.0 - 70 x 50,450804118,PZ,44.39,,,,,,,,,,,,,,,,,,,
450800222,CLAVO ESCUADRA PUL 21 -  90,PZ,44.42,,,,,CLAVO ESCUADRA PUL 21 -  90,450800222,PZ,44.42,,,,,,,,,,,,,,,,,,,
450813598,MECHA EZETA COLA CONICA 31.00 MM,PZ,44.55,,,,,MECHA EZETA COLA CONICA 31.00 MM,450813598,PZ,44.55,,,,,,,,,,,,,,,,,,,
450812704,CADENA NUDO N.12,MT,44.65,,,,,CADENA NUDO N.12,450812704,MT,44.65,,,,,,,,,,,,,,,,,,,
450814523,PICO GHERARDI PALA-HACHA  75 MM C/C,PZ,44.75,,,,,PICO GHERARDI PALA-HACHA  75 MM C/C,450814523,PZ,44.75,,,,,,,,,,,,,,,,,,,
450803055,TIJERA GHERARDI CORTA PERNOS 14,PZ,45.05,,,,,TIJERA GHERARDI CORTA PERNOS 14,450803055,PZ,45.05,,,,,,,,,,,,,,,,,,,
424590137,CARCIMA 1022 CULTIVADOR 3 GARRAS,PQ,45.32,,,,,CARCIMA 1022 CULTIVADOR 3 GARRAS,424590137,PQ,45.32,,,,,,,,,,,,,,,,,,,
450814628,GANCHO CONTRA VIENTO 24 - 160 x 15,PZ,45.45,,,,,GANCHO CONTRA VIENTO 24 - 160 x 15,450814628,PZ,45.45,,,,,,,,,,,,,,,,,,,
450802151,MECHA EZETA COLA CONICA 40.25 MM,PZ,45.55,,,,,MECHA EZETA COLA CONICA 40.25 MM,450802151,PZ,45.55,,,,,,,,,,,,,,,,,,,
424593602,MACHO URANGA A/RAPIDO NF  1/4  x 28,PZ,45.65,,,,,MACHO URANGA A/RAPIDO NF  1/4  x 28,424593602,PZ,45.65,,,,,,,,,,,,,,,,,,,
424570558,DESTAPAPILETA EL ABUELO CINTA  5 MT,PZ,45.67,,,,,DESTAPAPILETA EL ABUELO CINTA  5 MT,424570558,PZ,45.67,,,,,,,,,,,,,,,,,,,
450801685,HERRADURA ACANALADA PESADA C/CLIP 4,PZ,45.72,,,,,HERRADURA ACANALADA PESADA C/CLIP 4,450801685,PZ,45.72,,,,,,,,,,,,,,,,,,,
450800996,CACEROLA FUND S/ENLOZAR N. 3,PZ,45.76,,,,,CACEROLA FUND S/ENLOZAR N. 3,450800996,PZ,45.76,,,,,,,,,,,,,,,,,,,
450801684,LIJA AA FENOB G.120   120 x 45000,PZ,45.76,,,,,LIJA AA FENOB G.120   120 x 45000,450801684,PZ,45.76,,,,,,,,,,,,,,,,,,,
422001482,CADENA P/PERRO N. 8 LARGO 2.20 MT,PZ,45.78,,,,,CADENA P/PERRO N. 8 LARGO 2.20 MT,422001482,PZ,45.78,,,,,,,,,,,,,,,,,,,
450804933,CLAVO C/CHATA 16-63,PZ,46.29,,,,,CLAVO C/CHATA 16-63,450804933,PZ,46.29,,,,,,,,,,,,,,,,,,,
450813032,DESTAPACAÃ‘ERIA CINTA ACERO 15 MT,PZ,46.42,,,,,DESTAPACAÃ‘ERIA CINTA ACERO 15 MT,450813032,PZ,46.42,,,,,,,,,,,,,,,,,,,
424595627,BANDA AA TELA  75x508 O/A MAD G. 80,PZ,46.47,,,,,BANDA AA TELA  75x508 O/A MAD G. 80,424595627,PZ,46.47,,,,,,,,,,,,,,,,,,,
450813603,ALAMB REC NEGRO N.16 x 1 KG,PZ,46.71,,,,,ALAMB REC NEGRO N.16 x 1 KG,450813603,PZ,46.71,,,,,,,,,,,,,,,,,,,
450804420,MACHO URANGA A/RAPIDO M 18 x 1.50,PZ,46.72,,,,,MACHO URANGA A/RAPIDO M 18 x 1.50,450804420,PZ,46.72,,,,,,,,,,,,,,,,,,,
424595612,MARTILLO GHERARDI GALP C/UÃ‘A 500 GR,PZ,46.99,,,,,MARTILLO GHERARDI GALP C/UÃ‘A 500 GR,424595612,PZ,46.99,,,,,,,,,,,,,,,,,,,
424582922,MECHA EZETA DE CENTRAR 6.30 MM,PZ,47.01,,,,,MECHA EZETA DE CENTRAR 6.30 MM,424582922,PZ,47.01,,,,,,,,,,,,,,,,,,,
450800666,MECHA EZETA COLA CONICA 20.50 MM,PZ,47.16,,,,,MECHA EZETA COLA CONICA 20.50 MM,450800666,PZ,47.16,,,,,,,,,,,,,,,,,,,
450802613,MACHO TAP A/LAMINADO NF  7/16 x 20,PZ,47.42,,,,,MACHO TAP A/LAMINADO NF  7/16 x 20,450802613,PZ,47.42,,,,,,,,,,,,,,,,,,,
450817003,GANCHO P/ARMARIO BCE 40 MM x 100,PZ,47.5,,,,,GANCHO P/ARMARIO BCE 40 MM x 100,450817003,PZ,47.5,,,,,,,,,,,,,,,,,,,
450812173,DISCO AA GOLD    6 PERF 154  G.100,PZ,47.61,,,,,DISCO AA GOLD    6 PERF 154  G.100,450812173,PZ,47.61,,,,,,,,,,,,,,,,,,,
450813987,MACHO URANGA A/ALEADO NF  1/2  x 20,PZ,47.84,,,,,MACHO URANGA A/ALEADO NF  1/2  x 20,450813987,PZ,47.84,,,,,,,,,,,,,,,,,,,
450818795,MECHA EZETA COLA CONICA 46.50 MM,PZ,47.84,,,,,MECHA EZETA COLA CONICA 46.50 MM,450818795,PZ,47.84,,,,,,,,,,,,,,,,,,,
424595629,TENAZA GHERARDI CARP N. 8  203 MM,PZ,47.91,,,,,TENAZA GHERARDI CARP N. 8  203 MM,424595629,PZ,47.91,,,,,,,,,,,,,,,,,,,
450811912,CADENA NUDO N.18,PZ,47.96,,,,,CADENA NUDO N.18,450811912,PZ,47.96,,,,,,,,,,,,,,,,,,,
424580343,GANCHO CONTRA VIENTO 22 - 120 x 25,PZ,48,,,,,GANCHO CONTRA VIENTO 22 - 120 x 25,424580343,PZ,48,,,,,,,,,,,,,,,,,,,
413051199,ALAMB REC NEGRO N.16 1.63 MM,PZ,48.33,,,,,ALAMB REC NEGRO N.16 1.63 MM,413051199,PZ,48.33,,,,,,,,,,,,,,,,,,,
450812501,MECHA EZETA COLA CONICA 33.25 MM,PZ,48.56,,,,,MECHA EZETA COLA CONICA 33.25 MM,450812501,PZ,48.56,,,,,,,,,,,,,,,,,,,
450813317,CORREA SECCION O N.24,PZ,48.88,,,,,CORREA SECCION O N.24,450813317,PZ,48.88,,,,,,,,,,,,,,,,,,,
450817271,PITON S/TOPE ABIERTO P/TACO  8 x 50,PZ,48.88,,,,,PITON S/TOPE ABIERTO P/TACO  8 x 50,450817271,PZ,48.88,,,,,,,,,,,,,,,,,,,
424580002,MECHA EZETA DE CENTRAR 1.60 MM,PZ,48.91,,,,,MECHA EZETA DE CENTRAR 1.60 MM,424580002,PZ,48.91,,,,,,,,,,,,,,,,,,,
450301149,CABO P/MARTILLO LABRADO 0.35 MT,PZ,48.98,,,,,CABO P/MARTILLO LABRADO 0.35 MT,450301149,PZ,48.98,,,,,,,,,,,,,,,,,,,
450819689,MECHA EZETA CILINDRICA A/R 10.00 MM,PZ,49,,,,,MECHA EZETA CILINDRICA A/R 10.00 MM,450819689,PZ,49,,,,,,,,,,,,,,,,,,,
450812903,MECHA EZETA COLA CONICA 32.00 MM,PZ,49.22,,,,,MECHA EZETA COLA CONICA 32.00 MM,450812903,PZ,49.22,,,,,,,,,,,,,,,,,,,
424595597,LIJA AA GOLD 24K  G.400,PZ,49.29,,,,,LIJA AA GOLD 24K  G.400,424595597,PZ,49.29,,,,,,,,,,,,,,,,,,,
424580058,MECHA EZETA JUEGO A/R Y WIDIA x 9 U,PQ,49.33,,,,,MECHA EZETA JUEGO A/R Y WIDIA x 9 U,424580058,PQ,49.33,,,,,,,,,,,,,,,,,,,
424582130,GANCHO P/CAÃ‘O ESTRUCT 35 x 100,BA,49.48,,,,,GANCHO P/CAÃ‘O ESTRUCT 35 x 100,424582130,BA,49.48,,,,,,,,,,,,,,,,,,,
450814912,MACHO URANGA A/ALEADO M 16 x 1.50,PZ,49.61,,,,,MACHO URANGA A/ALEADO M 16 x 1.50,450814912,PZ,49.61,,,,,,,,,,,,,,,,,,,
450801683,NIVEL EVEL ALUMINIO  60 CM,PZ,49.76,,,,,NIVEL EVEL ALUMINIO  60 CM,450801683,PZ,49.76,,,,,,,,,,,,,,,,,,,
424580014,CADENA P/PERRO N.18 LARGO 1.70 MT,PQ,50.23,,,,,CADENA P/PERRO N.18 LARGO 1.70 MT,424580014,PQ,50.23,,,,,,,,,,,,,,,,,,,
450900403,PITON HO PUL ESCUAD  23 -  80 x 100,PZ,50.34,,,,,PITON HO PUL ESCUAD  23 -  80 x 100,450900403,PZ,50.34,,,,,,,,,,,,,,,,,,,
450900404,PITON HO PUL ESCUAD  23 -  70 x 100,PZ,50.34,,,,,PITON HO PUL ESCUAD  23 -  70 x 100,450900404,PZ,50.34,,,,,,,,,,,,,,,,,,,
450801837,LIJA AA FENOB G. 36   150 x 45000,PZ,50.69,,,,,LIJA AA FENOB G. 36   150 x 45000,450801837,PZ,50.69,,,,,,,,,,,,,,,,,,,
424595579,AZADA GHERARDI CARPIR N.2,PZ,50.83,,,,,AZADA GHERARDI CARPIR N.2,424595579,PZ,50.83,,,,,,,,,,,,,,,,,,,
424595580,AZADA GHERARDI ALGODONERA N.0,PZ,50.83,,,,,AZADA GHERARDI ALGODONERA N.0,424595580,PZ,50.83,,,,,,,,,,,,,,,,,,,
424595581,AZADA GHERARDI ALGODONERA N.1,PZ,50.83,,,,,AZADA GHERARDI ALGODONERA N.1,424595581,PZ,50.83,,,,,,,,,,,,,,,,,,,
424595582,AZADA GHERARDI ALGODONERA N.2,PZ,50.83,,,,,AZADA GHERARDI ALGODONERA N.2,424595582,PZ,50.83,,,,,,,,,,,,,,,,,,,
424595583,AZADA GHERARDI 2 AGUJEROS,PZ,50.83,,,,,AZADA GHERARDI 2 AGUJEROS,424595583,PZ,50.83,,,,,,,,,,,,,,,,,,,
450803940,BANDA AA TELA  75x533 O/A MAD G. 60,PZ,50.97,,,,,BANDA AA TELA  75x533 O/A MAD G. 60,450803940,PZ,50.97,,,,,,,,,,,,,,,,,,,
450817312,MECHA EZETA WIDIA BOSCH 14 x 350 MM,PZ,51.02,,,,,MECHA EZETA WIDIA BOSCH 14 x 350 MM,450817312,PZ,51.02,,,,,,,,,,,,,,,,,,,
450812770,MACHO URANGA A/RAPIDO M 20 x 1.50,PZ,51.16,,,,,MACHO URANGA A/RAPIDO M 20 x 1.50,450812770,PZ,51.16,,,,,,,,,,,,,,,,,,,
450818405,MECHA EZETA COLA CONICA 13.00 MM,PZ,51.88,,,,,MECHA EZETA COLA CONICA 13.00 MM,450818405,PZ,51.88,,,,,,,,,,,,,,,,,,,
424588359,CLAVO CAJ PULIDO 12- 28 x 30 KG,CJ,51.9,,,,,CLAVO CAJ PULIDO 12- 28 x 30 KG,424588359,CJ,51.9,,,,,,,,,,,,,,,,,,,
424588360,CLAVO CAJ PULIDO 12- 30 x 30 KG,CJ,51.9,,,,,CLAVO CAJ PULIDO 12- 30 x 30 KG,424588360,CJ,51.9,,,,,,,,,,,,,,,,,,,
450804617,CAÃ‘O CRISTAL  5 -  8  x  50 MT,PZ,51.94,,,,,CAÃ‘O CRISTAL  5 -  8  x  50 MT,450804617,PZ,51.94,,,,,,,,,,,,,,,,,,,
424592740,CADENA P/PERRO N.13 LARGO 1.70 MT,PZ,52,,,,,CADENA P/PERRO N.13 LARGO 1.70 MT,424592740,PZ,52,,,,,,,,,,,,,,,,,,,
